"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ATP13A3",1.37818556165289e-287,1.56440953608637,0.667,0.112,2.74810200993587e-283,"ATP13A3"
"TMEM131",0,1.5641937025838,0.958,0.3,0,"TMEM131"
"SRSF8",0.850678094760578,-1.5637705721478,0.149,0.132,1,"SRSF8"
"SYNJ1",2.77767195031243e-279,1.56288830017855,0.656,0.109,5.53867786892298e-275,"SYNJ1"
"USP15",0,1.56077054040132,0.97,0.328,0,"USP15"
"NFKBIE",4.07774904015636e-05,-1.56056745297921,0.237,0.235,0.813103158607178,"NFKBIE"
"C3orf14",0.0055365184155455,-1.55990648028738,0.188,0.186,1,"C3orf14"
"MIR3945HG",4.43219315327039e-52,1.5597505623247,0.102,0.01,8.83779314762115e-48,"MIR3945HG"
"IFI44",6.05262137272777e-289,1.55960104218331,0.757,0.159,1.20689270172192e-284,"IFI44"
"ORAI3",2.50774296926256e-29,-1.55952171687365,0.452,0.437,5.00043948070954e-25,"ORAI3"
"MAGOHB",6.63677246842213e-06,-1.55936992427756,0.286,0.271,0.132337243020337,"MAGOHB"
"TMEM62",1.2240859023958e-156,1.55886991411772,0.353,0.05,2.44082728937722e-152,"TMEM62"
"GNAQ",0,1.55818155905401,0.985,0.383,0,"GNAQ"
"MAP4K5",4.35582841036752e-180,1.55780718070543,0.424,0.067,8.68552185027283e-176,"MAP4K5"
"SASH3",3.59988687493903e-09,-1.55744990304177,0.31,0.302,7.17817442862843e-05,"SASH3"
"GCDH",0.209019011975377,-1.5566104402266,0.148,0.141,1,"GCDH"
"UBR2",2.82798001185573e-303,1.55589317677692,0.715,0.124,5.63899214364033e-299,"UBR2"
"NOP2",2.28149018361842e-91,1.55539537955182,0.184,0.02,4.54929142613514e-87,"NOP2"
"RPUSD1",0.41681740822661,-1.55517771403056,0.122,0.116,1,"RPUSD1"
"TRAPPC2L",8.66617373234672e-155,-1.55487236156918,0.624,0.667,1.72803504222994e-150,"TRAPPC2L"
"SYNE1",2.99879723054488e-196,1.55421426873435,0.495,0.09,5.97960167770648e-192,"SYNE1"
"FAM120B",4.28572142070836e-275,1.55356804463061,0.634,0.103,8.54572851289247e-271,"FAM120B"
"RSAD2",2.5963709521665e-212,1.55316442601622,0.583,0.123,5.17716367862001e-208,"RSAD2"
