"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PPIL3",7.07196747266913e-06,-0.967758749396607,0.171,0.248,0.141015031405022,"PPIL3"
"SIRT6",0.00347411618324892,-0.967426617774064,0.084,0.128,1,"SIRT6"
"MSMO1",0.0616647474398299,-0.967236709245472,0.119,0.142,1,"MSMO1"
"MT-CO2",1.83188496470448e-57,0.966965082851046,0.841,0.976,3.65277861962073e-53,"MT-CO2"
"C19orf25",0.000252539153566642,-0.966876109673045,0.171,0.227,1,"C19orf25"
"PIN4",5.29301996629608e-18,-0.966808064820391,0.301,0.468,1.05542818127944e-13,"PIN4"
"PARVB",0.000649403766268744,-0.966650603537039,0.25,0.286,1,"PARVB"
"C9orf64",0.886816375904986,-0.966315976646299,0.126,0.117,1,"C9orf64"
"YJU2",0.281152931677297,-0.965366054644655,0.11,0.119,1,"YJU2"
"PHETA1",0.525878563092531,-0.964844303676206,0.098,0.101,1,"PHETA1"
"BABAM2",0.00157142284270936,-0.964389072728939,0.185,0.226,1,"BABAM2"
"MRPL50",0.000136209989459836,-0.96415923641093,0.201,0.26,1,"MRPL50"
"GLIPR2",0.086376961666066,-0.963647358895909,0.168,0.184,1,"GLIPR2"
"METTL23",3.34604720443224e-05,-0.963644597308719,0.25,0.302,0.667201812563788,"METTL23"
"KYNU",0.0348215570912556,-0.963599870078185,0.084,0.113,1,"KYNU"
"MLH1",0.443935286017659,-0.963313988014242,0.145,0.145,1,"MLH1"
"LPIN2",1.21649761829936e-16,0.963105916907217,0.456,0.247,2.42569625088892e-12,"LPIN2"
"SQOR",0.000876095153950685,-0.962471620609326,0.229,0.267,1,"SQOR"
"NFKBIA",5.14139615900917e-44,-0.960822415001771,0.484,0.768,1.02519439410643e-39,"NFKBIA"
"TPRKB",2.56639293266615e-10,-0.96014252422979,0.266,0.369,5.11738750773631e-06,"TPRKB"
"SNCA",0.00104512185847304,-0.959662482487532,0.224,0.262,1,"SNCA"
"DCTPP1",2.35476479820205e-05,-0.958057299306037,0.201,0.265,0.469540100761489,"DCTPP1"
"SDHAF1",0.0971818833953481,-0.956710499583941,0.133,0.15,1,"SDHAF1"
"FBXW7",0.533389591556487,-0.956216650618506,0.133,0.131,1,"FBXW7"
"TMEM9",0.044335179866002,-0.955201007386882,0.161,0.183,1,"TMEM9"
"EPAS1",0.000894273557327427,0.955087936854442,0.423,0.333,1,"EPAS1"
"GOLGB1",1.80915989097801e-16,0.955009667574851,0.509,0.296,3.60746482261015e-12,"GOLGB1"
"SERPINA1",0.0356015725789212,-0.954821199235993,0.147,0.171,1,"SERPINA1"
"SLC39A4",0.000222550683076327,-0.954817420601159,0.114,0.175,1,"SLC39A4"
"MID1IP1",0.0672521315062986,-0.954626520490486,0.091,0.114,1,"MID1IP1"
"URI1",7.93464330055054e-13,0.953935488772446,0.294,0.142,1.58216787412978e-08,"URI1"
