"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TIGAR",1.63579893815767e-74,-2.62224879386691,0.038,0.186,3.26178308268639e-70,"TIGAR"
"BICC1",1.68589301645104e-102,-2.61402113344416,0.068,0.278,3.36167067480338e-98,"BICC1"
"NME7",4.84284507711817e-55,-2.61079819996135,0.023,0.128,9.65663308377362e-51,"NME7"
"GCSH",4.06567544319126e-41,-2.60342635161745,0.025,0.112,8.10695683372337e-37,"GCSH"
"EGLN2",3.2295999954215e-58,-2.58902529777308,0.022,0.132,6.43982239087048e-54,"EGLN2"
"IRF7",2.30969620722629e-76,2.58772102800292,0.294,0.065,4.60553423720921e-72,"IRF7"
"ZNF573",2.63614942391594e-62,-2.57828615593764,0.02,0.132,5.25648195128838e-58,"ZNF573"
"MIR99AHG",3.68633850582742e-93,-2.57425160315031,0.044,0.223,7.35055898061987e-89,"MIR99AHG"
"NDUFC2",6.94313730914012e-117,-2.55325406341609,0.095,0.34,1.38446157944254e-112,"NDUFC2"
"CCPG1",1.71464787887274e-137,-2.5425581731654,0.078,0.342,3.41900787047225e-133,"CCPG1"
"NAV3",3.66806971903917e-208,-2.53528384886301,0.157,0.528,7.31413101976411e-204,"NAV3"
"SYT1",5.20720161372918e-206,-2.53409114950597,0.13,0.497,1.0383160017776e-201,"SYT1"
"NSMCE2",5.61502015780782e-142,-2.53009605489065,0.094,0.367,1.11963501946688e-137,"NSMCE2"
"VEGFA",9.09389075712323e-49,2.53005400323753,0.207,0.049,1.81332181697037e-44,"VEGFA"
"RNF150",9.74289671518941e-151,-2.52413459208642,0.098,0.386,1.94273360500877e-146,"RNF150"
"DISC1",1.45806160672141e-160,-2.52207769377952,0.143,0.452,2.90737484380249e-156,"DISC1"
"SGK3",1.25646929308051e-152,-2.51569182969334,0.089,0.375,2.50539977040253e-148,"SGK3"
"ADGRE2",3.61682400579035e-31,2.5077325772677,0.147,0.039,7.21194706754596e-27,"ADGRE2"
"TSNAX",9.02390791691867e-85,-2.50478824722238,0.066,0.251,1.79936723863358e-80,"TSNAX"
"IMMP2L",4.71043254807256e-93,-2.49444470319791,0.063,0.255,9.39260250085669e-89,"IMMP2L"
"GCH1",3.23449662540644e-43,2.49418187116508,0.188,0.045,6.44958627106045e-39,"GCH1"
"EGR2",4.22858635727957e-131,2.49373621677718,0.453,0.116,8.43180119641547e-127,"EGR2"
"NR4A1",2.95309798001694e-254,2.49049337414595,0.685,0.224,5.88847737215377e-250,"NR4A1"
"PRIM2",3.39701673030032e-71,-2.48828281498101,0.03,0.167,6.77365136021884e-67,"PRIM2"
"MT-ND6",9.14316680197538e-242,2.46600764936172,0.662,0.157,1.82314746031389e-237,"MT-ND6"
"WDPCP",8.49998534545465e-113,-2.46575002991931,0.055,0.27,1.69489707788366e-108,"WDPCP"
"TMEM117",1.74968090077386e-125,-2.46509484969624,0.071,0.313,3.48886371614308e-121,"TMEM117"
"WASHC1",1.0960096146791e-53,-2.46300727125794,0.019,0.118,2.18544317167013e-49,"WASHC1"
"CARF",5.43542284487897e-52,-2.45908423480997,0.021,0.119,1.08382331526887e-47,"CARF"
"ATF3",2.26420196086053e-245,2.45364671039757,0.672,0.213,4.5148187099559e-241,"ATF3"
"STXBP5",2.30034668789453e-76,-2.44775819330534,0.044,0.202,4.58689129566169e-72,"STXBP5"
"HYOU1",1.4634710933829e-65,2.44051549714949,0.266,0.063,2.9181613602055e-61,"HYOU1"
"PDCD6",3.07618724608565e-82,-2.43981341873052,0.043,0.206,6.13391736869478e-78,"PDCD6"
"RPL22",4.98150288739443e-274,-2.43283005880648,0.266,0.695,9.9331167574645e-270,"RPL22"
"BAG3",9.21458874864105e-189,2.42932494305974,0.598,0.204,1.83738899647902e-184,"BAG3"
"PLEC",1.51652385605354e-83,2.42652497516426,0.315,0.071,3.02394856897076e-79,"PLEC"
"LRMDA",2.18454365238507e-129,-2.42536853231066,0.229,0.49,4.35598004285584e-125,"LRMDA"
"NUBPL",4.95287170904403e-81,-2.42298635304438,0.038,0.196,9.8760261878338e-77,"NUBPL"
"TMEM241",3.31162625300841e-53,-2.41134187361449,0.026,0.132,6.60338274849877e-49,"TMEM241"
"KIAA1328",8.46317594230495e-81,-2.40205323113239,0.041,0.201,1.68755728289561e-76,"KIAA1328"
"SAP30",2.35379938538911e-47,2.40202360584621,0.195,0.043,4.69347597446588e-43,"SAP30"
"ZNF626",1.14171847912753e-54,-2.40103256167094,0.029,0.141,2.27658664738029e-50,"ZNF626"
"DST",5.61314984396288e-42,2.39671285744648,0.196,0.053,1.1192620788862e-37,"DST"
"ULK4",5.56784850231904e-87,-2.39648633387363,0.038,0.205,1.11022899136242e-82,"ULK4"
"SEC22A",4.29473773464538e-48,-2.39246010797408,0.02,0.114,8.56370704288288e-44,"SEC22A"
"ODF3B",9.64564042658052e-50,2.38058491884658,0.193,0.037,1.92334070106016e-45,"ODF3B"
"ARHGAP32",3.38438373438858e-96,-2.37608927230589,0.048,0.236,6.74846116637083e-92,"ARHGAP32"
"PER1",5.08440157551418e-117,2.36596917961922,0.427,0.112,1.01382967415753e-112,"PER1"
"SIGLEC7",9.29247930128581e-44,2.36573684961585,0.166,0.029,1.85292037267639e-39,"SIGLEC7"
"PLAUR",1.08686029675411e-179,2.36125282608067,0.593,0.208,2.1671994317277e-175,"PLAUR"
"TMBIM4",2.87566108262705e-227,-2.35712075366751,0.193,0.597,5.73406819875835e-223,"TMBIM4"
"CDKN1A",5.18433145624003e-172,2.35631674070807,0.548,0.145,1.03375569237426e-167,"CDKN1A"
"NHSL1",3.06406265519331e-60,-2.35459863792371,0.041,0.172,6.10974093445546e-56,"NHSL1"
"PPM1B",8.08150335745357e-89,-2.32228759230276,0.058,0.244,1.61145176947624e-84,"PPM1B"
"SETBP1",7.68533624356781e-86,-2.31378838692316,0.042,0.213,1.53245604696742e-81,"SETBP1"
"KANTR",7.83474397085114e-59,-2.30592036782389,0.02,0.129,1.56224794778772e-54,"KANTR"
"CA5B",4.4807978185835e-47,-2.29621117809806,0.02,0.111,8.9347108502555e-43,"CA5B"
"PDSS2",6.14496240739795e-90,-2.29364807235634,0.057,0.243,1.22530550403515e-85,"PDSS2"
"HES1",3.92886700910549e-52,2.28875113821828,0.228,0.059,7.83416081615635e-48,"HES1"
"MIRLET7BHG",4.06991250541734e-49,-2.28618573104568,0.017,0.108,8.11540553580217e-45,"MIRLET7BHG"
"ARHGAP15",1.72452543227888e-87,-2.2853681299214,0.08,0.277,3.43870371196409e-83,"ARHGAP15"
"ZYX",3.02167973061572e-203,2.28336377635851,0.614,0.169,6.02522938284776e-199,"ZYX"
"MBD5",1.21626935811156e-135,-2.28272962614447,0.094,0.365,2.42524110007445e-131,"MBD5"
"ARMCX4",2.31118340663108e-43,-2.28166060907311,0.019,0.104,4.60849971282237e-39,"ARMCX4"
"FGL1",3.34389146061714e-147,-2.27932405223262,0.156,0.46,6.66771957247058e-143,"FGL1"
"ADORA3",2.18473048152454e-32,2.27706293874687,0.133,0.027,4.35635258015993e-28,"ADORA3"
"LILRA6",2.31954790170543e-44,2.26657870791734,0.181,0.037,4.62517851600062e-40,"LILRA6"
"ATP8A1",2.58521052630494e-43,-2.2650485396869,0.027,0.12,5.15490978945206e-39,"ATP8A1"
"LRRC39",1.47410061763965e-120,-2.2638284299361,0.089,0.336,2.93935663157346e-116,"LRRC39"
"CCDC7",5.97329677259836e-61,-2.26156609813052,0.032,0.157,1.19107537645611e-56,"CCDC7"
"CDKAL1",1.81729397045535e-117,-2.25510500535245,0.075,0.312,3.62368417708797e-113,"CDKAL1"
"BTBD9",1.98705849949419e-83,-2.25321840758863,0.055,0.231,3.96219464799142e-79,"BTBD9"
"TP53INP2",2.00832410718066e-45,2.25316160181486,0.207,0.054,4.00459826971823e-41,"TP53INP2"
"TSPAN5",2.26910485545365e-39,-2.24793606472614,0.02,0.101,4.52459508177457e-35,"TSPAN5"
"IGF2R",3.34603322574114e-99,2.24613961834778,0.389,0.104,6.67199025212782e-95,"IGF2R"
"PMF1",3.38614118546524e-40,-2.24580591705786,0.04,0.139,6.75196552381769e-36,"PMF1"
"U2AF1",8.01584360669212e-35,-2.24310216916555,0.037,0.126,1.59835921517441e-30,"U2AF1"
"LINC01176",1.72189995386729e-54,-2.24260127880293,0.022,0.126,3.43346850801138e-50,"LINC01176"
"CRADD",1.31936051669252e-43,-2.2368512337081,0.041,0.147,2.63080487028489e-39,"CRADD"
"CACNA2D3",9.54948661188299e-26,-2.22748633431253,0.035,0.106,1.90416763040947e-21,"CACNA2D3"
"TSIX",1.61695367195334e-63,-2.22710371959727,0.018,0.129,3.22420562187496e-59,"TSIX"
"FAM172A",2.22413772416974e-124,-2.2254911322304,0.089,0.342,4.43493062199446e-120,"FAM172A"
"YBX3",2.63597040201816e-169,2.22349402663632,0.551,0.149,5.25612498162421e-165,"YBX3"
"KLF10",7.57978592160721e-153,2.22334439921084,0.524,0.151,1.51140931276848e-148,"KLF10"
"SNRPD3",1.76858412806346e-37,-2.22053099369384,0.045,0.144,3.52655675135855e-33,"SNRPD3"
"CNPY2",7.93742698340356e-71,-2.21840066111684,0.06,0.223,1.58272294049067e-66,"CNPY2"
"DDIT4",1.35533851623228e-70,2.21491182830473,0.285,0.068,2.70254500136717e-66,"DDIT4"
"IL1RN",7.44335357574221e-32,2.20896468448653,0.137,0.03,1.484204703003e-27,"IL1RN"
