"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"HLCS",2.70015001956834e-20,-1.74381324328596,0.043,0.103,5.38409913901926e-16,"HLCS"
"ANK2",2.53634069239539e-42,-1.74366534987106,0.083,0.198,5.05746334063642e-38,"ANK2"
"TBCK",1.43536446091834e-69,-1.743652438562,0.114,0.283,2.86211673507118e-65,"TBCK"
"STK32B",1.08668110529901e-32,-1.73683194033775,0.058,0.147,2.16684212396623e-28,"STK32B"
"LY6E",2.88757177136917e-18,1.73247560359054,0.129,0.052,5.75781811211013e-14,"LY6E"
"BIRC7",6.24175333742007e-25,1.72926142778913,0.109,0.024,1.24460561548156e-20,"BIRC7"
"RFX3",8.07611563867864e-54,-1.72532367802685,0.105,0.246,1.61037745835252e-49,"RFX3"
"UBE3D",1.15904464989865e-26,-1.71464910897419,0.058,0.136,2.31113503189791e-22,"UBE3D"
"PAQR3",1.86995749932702e-59,-1.70985476775664,0.086,0.231,3.72869525365808e-55,"PAQR3"
"EFCAB13",1.39774540055911e-28,-1.70675945180772,0.043,0.117,2.78710432871486e-24,"EFCAB13"
"BICC1",3.86587216919768e-51,-1.70425331684023,0.133,0.278,7.70854910538018e-47,"BICC1"
"ARHGAP15",2.10913818035709e-57,-1.70312211706677,0.122,0.277,4.20562153163204e-53,"ARHGAP15"
"CCDC146",1.82120430594461e-26,-1.70116987569978,0.042,0.111,3.63148138605356e-22,"CCDC146"
"CTIF",1.86419554505577e-31,-1.69405580797311,0.032,0.104,3.7172059168412e-27,"CTIF"
"PAPPA2",1.20509858354852e-32,1.69141682147344,0.254,0.119,2.40296657559575e-28,"PAPPA2"
"CYP27A1",3.68415231453933e-21,1.68986707721014,0.106,0.029,7.34619971519142e-17,"CYP27A1"
"EEFSEC",2.11864031534213e-37,-1.68877561247048,0.044,0.133,4.2245687887922e-33,"EEFSEC"
"CACNA2D3",1.58317894107827e-09,-1.68875424875413,0.064,0.106,3.15685880851006e-05,"CACNA2D3"
"FBXW8",3.28346779281531e-22,-1.68669336926507,0.043,0.106,6.54723477887373e-18,"FBXW8"
"MAP2K5",5.74543942018157e-54,-1.68244164862152,0.107,0.249,1.1456406203842e-49,"MAP2K5"
"SETBP1",1.2957544774598e-49,-1.67777732805595,0.084,0.213,2.58373442805483e-45,"SETBP1"
"ARL4D",9.35859398392486e-35,1.67743636503304,0.188,0.058,1.86610364039462e-30,"ARL4D"
"PLK2",3.47086043876559e-27,1.67346833176722,0.164,0.058,6.92089571489859e-23,"PLK2"
"IRF7",1.59703642724622e-28,1.66875554144981,0.179,0.065,3.18449063592897e-24,"IRF7"
"VWA8",1.82105903605132e-36,-1.66517346245527,0.079,0.184,3.63119171788633e-32,"VWA8"
"DISC1",3.91594596908423e-79,-1.66374104251493,0.268,0.452,7.80839626235396e-75,"DISC1"
"LRBA",8.34091553013477e-58,-1.66147618876377,0.11,0.26,1.66317855670887e-53,"LRBA"
"HTRA1",6.68889074742425e-27,1.65932407902619,0.228,0.111,1.3337648150364e-22,"HTRA1"
"MBD5",9.26282862559444e-70,-1.65929492796365,0.185,0.365,1.84700802794353e-65,"MBD5"
"AHCYL2",7.22773634404329e-44,-1.65763266122746,0.082,0.2,1.44121062700223e-39,"AHCYL2"
"SFMBT2",9.7970617272692e-54,-1.65682185138699,0.138,0.287,1.95353410841748e-49,"SFMBT2"
"KIAA1328",1.96176159649067e-37,-1.65163679328211,0.091,0.201,3.9117526234024e-33,"KIAA1328"
"VPS13B",9.81320918735947e-81,-1.63934452115794,0.202,0.398,1.95675391195948e-76,"VPS13B"
"ZNF678",3.59745264582249e-24,-1.638896035002,0.046,0.114,7.17332057577005e-20,"ZNF678"
"PTPRG",1.81004392349178e-47,-1.63836562206902,0.182,0.32,3.60922758344261e-43,"PTPRG"
"TPK1",1.16189558144052e-43,-1.636679822397,0.091,0.211,2.31681978939239e-39,"TPK1"
"ATP9A",4.94493316167145e-22,1.63193459067291,0.131,0.044,9.86019672437286e-18,"ATP9A"
"NNMT",1.49084033445531e-89,1.6319178266175,0.402,0.123,2.97273562690388e-85,"NNMT"
"CPED1",1.31323983508881e-35,-1.63154728509583,0.047,0.136,2.6186002311671e-31,"CPED1"
"SPATA5",4.04458692401085e-40,-1.62912519695192,0.085,0.198,8.06490632647763e-36,"SPATA5"
"MMS22L",8.2824041955159e-26,-1.62664495130549,0.04,0.109,1.65151139658587e-21,"MMS22L"
"NHSL1",1.70452713242977e-30,-1.62412802484223,0.079,0.172,3.39882710206496e-26,"NHSL1"
"INVS",5.71486172236868e-50,-1.61694819768711,0.093,0.227,1.13954342744031e-45,"INVS"
"ANXA6",4.36195954824827e-34,1.61321731053951,0.176,0.052,8.69774733920706e-30,"ANXA6"
