"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.809904227338479,-0.764518287096443,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.46362196437295,-0.0119358264545819,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.329148651726796,0.145659744675932,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.509250824965789,-2.24750324717564,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.105300495706246,-0.148211982164802,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.94204889766152,-1.65586349001926,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.387265155397103,-1.51112243166965,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.414013756133868,-1.92778154841465,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.328184315629556,1.42500856884914,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.0181044436318139,2.27305201062161,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.713214864649131,-1.50111195078892,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.88450108996804,-1.92474194994968,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.968146691404031,3.35705259808498,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.0167302585465173,-1.8852343224625,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.213163802705453,0.678216908063469,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-3.69646405211861,2.68222311505276,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.392084574021651,2.75701430806118,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.0816441870552758,-5.16428467265171,"Late"
