"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"QSER1",4.69756064458114e-06,-0.418727234295277,0.199,0.242,0.0936693592529479,"QSER1"
"KLC1",8.90616410160145e-07,-0.4185622052107,0.178,0.224,0.0177588912185933,"KLC1"
"HIF1A",1.25656458873655e-38,0.418467374739396,0.655,0.536,2.50558978994068e-34,"HIF1A"
"PHC3",9.55674580638561e-10,-0.418250570888224,0.185,0.244,1.90561511379329e-05,"PHC3"
"RPL7A",3.17254547410229e-80,0.418075256179033,0.838,0.645,6.32605567535997e-76,"RPL7A"
"NOP58",1.59352701525951e-10,0.417992142039145,0.242,0.179,3.17749286842746e-06,"NOP58"
"IRAK4",4.13984460036141e-06,-0.417866985726656,0.131,0.17,0.0825485013312064,"IRAK4"
"MEF2D",4.34121029848336e-08,0.417729213669818,0.239,0.184,0.000865637333517582,"MEF2D"
"SYVN1",1.10990775303107e-10,0.417717798284456,0.154,0.101,2.21315605954396e-06,"SYVN1"
"TNK2",6.32550994358927e-05,-0.417658467628161,0.091,0.122,1,"TNK2"
"PIK3CA",3.76984202909245e-05,-0.417422556315132,0.17,0.206,0.751706500601035,"PIK3CA"
"TMEM14B",0.0483748430227646,-0.41737387745216,0.322,0.332,1,"TMEM14B"
"SKAP2",5.68970323978622e-11,-0.417326928559922,0.401,0.454,1.13452682601337e-06,"SKAP2"
"PYGB",0.00166285349298137,0.417312304205642,0.115,0.093,1,"PYGB"
"TOMM7",0.000631348757711385,-0.416534432471558,0.498,0.498,1,"TOMM7"
"TMEM243",0.062086771937004,-0.416520176735351,0.134,0.147,1,"TMEM243"
"TBCA",1.43187445490952e-05,-0.416491242845171,0.36,0.395,0.285515766308959,"TBCA"
"TMEM192",0.0127703381765918,-0.416349155551548,0.133,0.152,1,"TMEM192"
"MAP3K1",9.02294943970247e-09,-0.416300743005392,0.346,0.394,0.000179917611827667,"MAP3K1"
"TOMM70",5.3775165780655e-09,0.416290602797033,0.197,0.143,0.000107227680566626,"TOMM70"
"CDC37",4.39862165550243e-34,0.415914311544545,0.532,0.378,8.77085158107184e-30,"CDC37"
"CEP57",0.00352617682102669,-0.415650549693496,0.144,0.167,1,"CEP57"
"RNPEP",2.16552347482722e-20,0.415352862111787,0.358,0.255,4.31805380880548e-16,"RNPEP"
"TAPT1",3.78501288918627e-06,-0.415239727955799,0.077,0.11,0.0754731570103742,"TAPT1"
"CCDC18",0.000141716007074509,-0.414718744093936,0.076,0.102,1,"CCDC18"
