"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NEK3",1.30048631985579e-05,-0.405039890486644,0.2,0.239,0.259316972179245,"NEK3"
"KMT5A",1.30947827366896e-05,0.275557336940821,0.216,0.16,0.261109967769591,"KMT5A"
"MAP3K4",1.33258500042233e-05,-0.528279843556804,0.111,0.147,0.265717449084213,"MAP3K4"
"EAPP",1.33797401657203e-05,0.284217870433365,0.216,0.162,0.266792018904463,"EAPP"
"RASSF3",1.34589114328878e-05,-0.4168187342434,0.175,0.218,0.268370693971783,"RASSF3"
"NUBP1",1.34613078183667e-05,0.299618995872841,0.187,0.135,0.268418477898232,"NUBP1"
"PAPOLA",1.34675979303387e-05,-0.211299990690694,0.42,0.462,0.268543902730953,"PAPOLA"
"GLB1",1.35080180815251e-05,-0.339968561403514,0.314,0.353,0.26934988054561,"GLB1"
"COASY",1.35558737610524e-05,0.357884935688137,0.115,0.075,0.270304122795385,"COASY"
"DNTTIP1",1.36263152220461e-05,0.343848472762809,0.14,0.096,0.2717087255276,"DNTTIP1"
"HOOK3",1.37329908579261e-05,-0.277678524554083,0.373,0.415,0.273835837707046,"HOOK3"
"TAC3",1.37578916328363e-05,1.08568591576162,0.17,0.131,0.274332359158756,"TAC3"
"INO80D",1.37909959613023e-05,-0.400201560284616,0.137,0.177,0.274992459468368,"INO80D"
"SNX30",1.38457969752661e-05,-0.650957966210545,0.157,0.195,0.276085191686807,"SNX30"
"CYP4V2",1.40829925160346e-05,0.387078133364252,0.222,0.167,0.28081487076973,"CYP4V2"
"COPA",1.42375164053554e-05,0.317600753885838,0.379,0.314,0.283896077122787,"COPA"
"ABHD12",1.42624709114733e-05,-0.381493804441541,0.264,0.303,0.284393669974778,"ABHD12"
"ILKAP",1.43086453585457e-05,-0.482661389419865,0.109,0.145,0.285314388449401,"ILKAP"
"CSNK1A1",1.44018957899167e-05,-0.2114718538659,0.596,0.63,0.287173802050939,"CSNK1A1"
"ORMDL1",1.45663707042024e-05,-0.323033935535099,0.284,0.328,0.290453431841795,"ORMDL1"
"CGAS",1.4681180583301e-05,0.27690733512024,0.252,0.195,0.292742740831022,"CGAS"
"MED24",1.47070524549747e-05,0.523274118991775,0.112,0.073,0.293258625952195,"MED24"
"MEAF6",1.48710318098552e-05,0.299794565908305,0.214,0.158,0.296528374288514,"MEAF6"
"YKT6",1.49736622254874e-05,0.416613234813646,0.116,0.076,0.298574824776218,"YKT6"
"DDRGK1",1.51454385629625e-05,0.0488943461599276,0.209,0.153,0.302000044945472,"DDRGK1"
"DPY19L4",1.53168491124232e-05,-0.466397088425603,0.124,0.163,0.305417971301718,"DPY19L4"
"ADCK2",1.53966906752371e-05,0.218418016674906,0.135,0.092,0.307010012064228,"ADCK2"
"TMEM129",1.54434977273211e-05,0.283226099376449,0.111,0.071,0.307943344682783,"TMEM129"
"DCAF5",1.57277057684491e-05,-0.398912861057031,0.243,0.279,0.313610453022875,"DCAF5"
"ATP1B3",1.57636922099168e-05,0.124915589674041,0.541,0.464,0.314328022665741,"ATP1B3"
"ROGDI",1.60558267253888e-05,0.282983679209899,0.106,0.068,0.320153184904252,"ROGDI"
"CLK4",1.62243986876213e-05,-0.581846433213601,0.114,0.15,0.323514509831168,"CLK4"
"SPATS2L",1.62536094906087e-05,-0.196466513460309,0.552,0.585,0.324096973242737,"SPATS2L"
"RNF114",1.62966275717533e-05,0.206287801615706,0.366,0.293,0.324954753780761,"RNF114"
"LINC00472",1.65277464622771e-05,-0.731355730273658,0.087,0.12,0.329563264457806,"LINC00472"
"CHM",1.65447643057416e-05,-0.308648899387683,0.235,0.277,0.329902600256488,"CHM"
"RASSF5",1.6546977249899e-05,0.353055992422152,0.109,0.07,0.329946726362987,"RASSF5"
"GCNT2",1.65997093772248e-05,-0.656682397453439,0.07,0.101,0.330998204981863,"GCNT2"
"CSNK2A1",1.6615625852879e-05,-0.370856467029475,0.223,0.265,0.331315579506408,"CSNK2A1"
"MYOF",1.68566966391772e-05,-0.384447316426707,0.174,0.217,0.336122530985194,"MYOF"
"SPAST",1.69823951475428e-05,-0.427458316164998,0.119,0.157,0.338628959242003,"SPAST"
"TSEN34",1.69926584595099e-05,0.439933447904431,0.141,0.098,0.338833609682628,"TSEN34"
"PMEPA1",1.7036345863398e-05,0.386651023053938,0.172,0.124,0.339704736516157,"PMEPA1"
"SLC22A18",1.72762458512912e-05,0.776496280944485,0.102,0.066,0.344488342274746,"SLC22A18"
"WDR33",1.74132232713503e-05,-0.268987482921699,0.234,0.277,0.347219672030724,"WDR33"
"BAG4",1.74275459832239e-05,0.356957263622968,0.267,0.209,0.347505266905484,"BAG4"
"M6PR",1.77947133230461e-05,0.153733972427969,0.531,0.457,0.35482658366154,"M6PR"
"L3MBTL2",1.78657954688332e-05,0.543237292784817,0.107,0.07,0.356243961648533,"L3MBTL2"
"ANP32E",1.78838908191671e-05,0.221777971371108,0.218,0.162,0.356604782934192,"ANP32E"
"CDC16",1.79649355744013e-05,-0.458108094866653,0.132,0.17,0.358220815353563,"CDC16"
"ERLEC1",1.80805130703148e-05,0.172329228702676,0.295,0.231,0.360525430622077,"ERLEC1"
"CFAP97",1.81727204959845e-05,0.375363308388588,0.198,0.146,0.36236404668993,"CFAP97"
"UPF3A",1.83420484574e-05,-0.49308752873929,0.177,0.215,0.365740446240556,"UPF3A"
"EMC7",1.83577188691325e-05,0.186785051966292,0.258,0.198,0.366052914250503,"EMC7"
"TMEM248",1.83631423992766e-05,0.233314044657195,0.286,0.221,0.366161059441575,"TMEM248"
"FOXRED2",1.84092580691586e-05,0.275561206767038,0.22,0.164,0.367080605899023,"FOXRED2"
"CCNQ",1.84933340049237e-05,0.396569381118038,0.121,0.081,0.368757080058178,"CCNQ"
"AGPAT3",1.86219125829445e-05,-0.452374626231951,0.182,0.221,0.371320936903913,"AGPAT3"
"TMEM245",1.86894452415701e-05,-0.399989583675036,0.163,0.203,0.372667538116908,"TMEM245"
"ERLIN2",1.88616627954777e-05,0.286179548037625,0.168,0.119,0.376101556141825,"ERLIN2"
"HNRNPUL1",1.91158334035219e-05,0.217478834904342,0.326,0.257,0.381169718066226,"HNRNPUL1"
"MIGA1",1.92394409621398e-05,-0.528568662591866,0.131,0.168,0.383634452785067,"MIGA1"
"SNRPB2",1.96329460580118e-05,0.128171074015875,0.338,0.265,0.391480944396754,"SNRPB2"
"NRDC",1.9873330192765e-05,-0.340458111646307,0.316,0.349,0.396274204043735,"NRDC"
"LONP1",1.98847671653924e-05,0.306146497795801,0.137,0.093,0.396502257277924,"LONP1"
"SCPEP1",1.99107147813433e-05,0.183502092405976,0.357,0.288,0.397019652739985,"SCPEP1"
"PLSCR1",1.99420598304946e-05,0.119099918065713,0.534,0.458,0.397644673020062,"PLSCR1"
"GNL3L",1.99721249937046e-05,0.326704881069124,0.162,0.114,0.39824417237447,"GNL3L"
"OPA3",2.002353656182e-05,0.353749669387466,0.131,0.088,0.399269319042691,"OPA3"
"JAGN1",2.0049032035164e-05,0.254749125685188,0.126,0.085,0.399777698781171,"JAGN1"
"CHRAC1",2.00549765196766e-05,0.425700913244432,0.128,0.086,0.399896231802351,"CHRAC1"
"PUM3",2.02038775233469e-05,-0.508339310795589,0.133,0.172,0.402865317815538,"PUM3"
"UBE2Q1",2.02825210211403e-05,0.0986990043520261,0.2,0.147,0.404433469161537,"UBE2Q1"
"TMX4",2.06229214995796e-05,0.376424585272258,0.12,0.08,0.411221054701618,"TMX4"
"SYPL1",2.08148410379297e-05,0.245512977517022,0.254,0.193,0.415047930296318,"SYPL1"
"ABHD8",2.12533818840889e-05,0.477619036632686,0.134,0.092,0.423792434768733,"ABHD8"
"CAPZA1",2.13178652775532e-05,-0.188231298326645,0.529,0.566,0.42507823363441,"CAPZA1"
"USP38",2.15575774744294e-05,0.364243269774174,0.179,0.129,0.429858094840123,"USP38"
"CTBP1",2.15844447330385e-05,0.423621548169387,0.229,0.174,0.430393827976789,"CTBP1"
