"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0030101","natural killer cell activation",44,0.37164690335291,1.34680577862308,0.0810810810810811,0.392620494349894,0.349381881747893,2072,"tags=34%, list=22%, signal=27%","TICAM2/TOX/PIBF1/PTPN22/MERTK/PRDM1/JAK2/ZBTB1/FCGR3A/PTPRC/HECTD1/AP1G1/STAT5B/CASP8/SP3","Infection",15
"GO:0070203","regulation of establishment of protein localization to telomere",10,-0.627113271344041,-1.49675125972126,0.0818713450292398,0.393541876892028,0.350201794032181,3540,"tags=100%, list=37%, signal=63%","CCT6A/CCT3/TCP1/CCT5/TERF1/CCT8/CCT2/CCT7/DKC1","Infection",9
"GO:0060412","ventricular septum morphogenesis",21,0.482142395317523,1.47640050324462,0.0813556586026802,0.393541876892028,0.350201794032181,2359,"tags=57%, list=25%, signal=43%","WNT5A/ZFPM2/ACVR1/TGFBR2/BMPR1A/BMPR2/HES1/PROX1/RBPJ/SMAD7/ZFPM1/SMAD4","Infection",12
"GO:0048843","negative regulation of axon extension involved in axon guidance",10,0.576449962453612,1.45860638232708,0.081799591002045,0.393541876892028,0.350201794032181,1899,"tags=50%, list=20%, signal=40%","WNT5A/SEMA6B/SEMA3D/RYK/NRP1","Infection",5
"GO:0055008","cardiac muscle tissue morphogenesis",25,0.430945241403683,1.37834912031707,0.0819327731092437,0.393541876892028,0.350201794032181,2359,"tags=44%, list=25%, signal=33%","WNT5A/ZFPM2/TTN/BMPR1A/HEG1/PROX1/RBPJ/SMAD7/CHD7/ZFPM1/SMAD4","Infection",11
"GO:0061180","mammary gland epithelium development",34,0.403255405646147,1.37056768683228,0.0816777041942605,0.393541876892028,0.350201794032181,1947,"tags=38%, list=21%, signal=30%","VDR/WNT5A/ESR1/BTRC/JAK2/AREG/SRC/BRCA2/HIF1A/RREB1/PRLR/LATS1/NR3C1","Infection",13
"GO:0046661","male sex differentiation",76,0.311756227545085,1.27238460651469,0.0814814814814815,0.393541876892028,0.350201794032181,1436,"tags=24%, list=15%, signal=20%","WNT5A/ZFPM2/ESR1/KITLG/ADAM32/WNT2B/FER/NCOA1/SCAPER/CBL/ACVR2A/BCL2/CYP1B1/RNF38/BMPR1A/FNDC3A/AGO4/ARID5B","Infection",18
"GO:0003007","heart morphogenesis",110,0.280913181178964,1.22095708584825,0.0819209039548023,0.393541876892028,0.350201794032181,1490,"tags=29%, list=16%, signal=25%","WNT5A/ZFPM2/ALDH1A2/OVOL2/EXT1/TTN/MICAL2/ARID2/SOS1/PTK2/RYR1/ACVR1/TGFBR2/SEC24B/PKD2/APC/SUFU/BMPR1A/TBX19/C2CD3/BMPR2/HEG1/NIPBL/HES1/MIB1/HIF1A/PROX1/RBPJ/IFT172/MTOR/AHI1/BBS5","Infection",32
"GO:0006887","exocytosis",194,0.255014030432238,1.21410534118131,0.0817195951953729,0.393541876892028,0.350201794032181,2715,"tags=33%, list=29%, signal=24%","ABCC4/EXOC6B/RABGEF1/ERC2/SYT6/SYT1/RAB12/FER/GAB2/EXOC4/STXBP5/SLC4A8/CLASP1/MYO1G/SYTL3/ADGRE2/BRAF/SYTL4/NSF/UNC13B/CBL/ARFGEF2/ATP9A/EXOC2/SYNJ1/ARFGEF1/CLASP2/LRRK2/FBXL20/EXOC6/ITSN1/SYT11/RAB3GAP1/PIK3C2A/FCGR3A/TRAPPC11/STX11/AP1G1/IL4R/RAB11FIP2/CACNB4/RIMS3/PCLO/PIK3CG/STAM/RAB31/RAB8B/STXBP6/PSEN1/SYK/EXOC5/CTBP2/PPP3CB/PREPL/WDR41/RAB27A/STX17/LYN/SNX19/STX3/STX2/PRKCB/DNAJC5/RALA","Infection",64
"GO:0048536","spleen development",24,0.432306044059606,1.36076326037125,0.0821052631578947,0.393972835314092,0.350585291752301,1803,"tags=33%, list=19%, signal=27%","JARID2/ABL1/RC3H1/BCL2/RC3H2/BCL2L11/ADAM17/CACNB4","Infection",8
"GO:0006458","'de novo' protein folding",35,-0.466786486620618,-1.44916554626249,0.0824175824175824,0.394005402108565,0.350614272022305,2545,"tags=34%, list=27%, signal=25%","HSPE1/DNAJB12/DNAJB1/TOR1A/ST13/SDF2/BAG1/CCT2/TOR2A/CHCHD4/HSPA2/DNAJB4","Infection",12
