"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SEMA3D",0.382827989031118,0.12506319573976,0.111,0.106,1,"SEMA3D"
"RELL1",0.384036334499431,-0.037728921397783,0.256,0.275,1,"RELL1"
"RNF11",0.385182996442816,0.0545558188611878,0.189,0.185,1,"RNF11"
"SHOC2",0.385476158242391,-0.0765188183252999,0.24,0.258,1,"SHOC2"
"KMT5B",0.386669863950537,0.0390226165265132,0.196,0.191,1,"KMT5B"
"KLHL12",0.386719007505789,-0.0587568266405405,0.114,0.124,1,"KLHL12"
"RAB5B",0.387067856095901,-0.105181245978168,0.179,0.193,1,"RAB5B"
"SAV1",0.390187776176821,0.130365086355729,0.121,0.116,1,"SAV1"
"MGST2",0.390504276075191,-0.304294379412779,0.45,0.463,1,"MGST2"
"SART3",0.39071202268605,-0.0133693451843881,0.113,0.123,1,"SART3"
"SLC39A9",0.391220052101233,-0.0393363319743461,0.113,0.122,1,"SLC39A9"
"EDA",0.392496461023288,0.277483456961323,0.177,0.173,1,"EDA"
"EHBP1L1",0.394222988809736,0.0932955106733833,0.404,0.414,1,"EHBP1L1"
"FNBP1",0.395053581412086,-0.0261519785485368,0.379,0.382,1,"FNBP1"
"SIKE1",0.395657189228219,-0.292184696253494,0.099,0.106,1,"SIKE1"
"SH3TC1",0.397456824995355,0.0299292667342035,0.189,0.204,1,"SH3TC1"
"CDK6",0.398265731913408,-0.016112019091846,0.097,0.106,1,"CDK6"
"FGD5-AS1",0.398535910319791,-0.0616290212522049,0.389,0.382,1,"FGD5-AS1"
"FAM136A",0.398629827676951,-0.0784331784321337,0.146,0.139,1,"FAM136A"
"ARHGAP12",0.400449338285167,-0.143359040210371,0.366,0.384,1,"ARHGAP12"
"BCL2L1",0.400863978902352,-0.11653931794376,0.258,0.276,1,"BCL2L1"
"PAK1IP1",0.403668400258267,0.0377937821448016,0.094,0.102,1,"PAK1IP1"
"HACD2",0.40402107986297,0.00690200671798091,0.149,0.161,1,"HACD2"
"RPL30",0.404932621772772,-0.115818915665217,0.893,0.915,1,"RPL30"
"FBXO33",0.40513628262153,0.0347468737689918,0.118,0.113,1,"FBXO33"
"SLAIN2",0.40621124806881,0.127216541728607,0.201,0.199,1,"SLAIN2"
"GFM1",0.40626740126976,-0.0100996232446339,0.177,0.19,1,"GFM1"
"IFI27",0.406391953147702,-0.0286643546193175,0.331,0.349,1,"IFI27"
"WAPL",0.407982060419803,0.0216566156428496,0.342,0.344,1,"WAPL"
"FBXW11",0.409079095123687,-0.164137014138978,0.227,0.241,1,"FBXW11"
"TRPS1",0.409418145257222,0.0552241566387399,0.309,0.327,1,"TRPS1"
"CYP4V2",0.41010976314208,0.00802193445823463,0.151,0.163,1,"CYP4V2"
"CYP1B1",0.410955389298436,-0.351650075475176,0.1,0.107,1,"CYP1B1"
"ETFA",0.411137367492623,-0.0509274695828665,0.267,0.26,1,"ETFA"
"COA3",0.412710619696856,-0.3192775947742,0.187,0.196,1,"COA3"
"CCNT2",0.412992986832719,0.25365634203654,0.204,0.204,1,"CCNT2"
"FBXO38",0.413175850483915,0.385585942349309,0.152,0.15,1,"FBXO38"
"ZDHHC7",0.41342308647493,0.0623807227585398,0.187,0.202,1,"ZDHHC7"
"NFAM1",0.41343533865326,0.0754369893502316,0.17,0.166,1,"NFAM1"
"SPAG7",0.413727178854659,-0.156024487898657,0.228,0.244,1,"SPAG7"
"NDUFA10",0.414300220008954,-0.108691132325296,0.246,0.26,1,"NDUFA10"
"ATPAF1",0.414369171654013,-0.0426607301455303,0.134,0.129,1,"ATPAF1"
"LPCAT2",0.415155802664715,-0.000256561602277772,0.296,0.316,1,"LPCAT2"
"CSNK1G3",0.416096863476748,0.0806342414148747,0.141,0.136,1,"CSNK1G3"
"PSMB7",0.41629704842379,-0.332295502922085,0.252,0.263,1,"PSMB7"
"TCOF1",0.416333400416533,0.0948280667724964,0.131,0.126,1,"TCOF1"
"SLU7",0.417648793167464,-0.17262492644117,0.2,0.212,1,"SLU7"
"CUEDC1",0.41791533534971,0.0732992867415413,0.171,0.167,1,"CUEDC1"
"FBXO21",0.418139512574393,0.16406689363633,0.111,0.107,1,"FBXO21"
"LGALS3BP",0.420447018371885,-0.132353091722032,0.375,0.384,1,"LGALS3BP"
