"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL13",3.27990174819768e-19,-1.40251833475249,0.121,0.335,6.06519431276715e-15
"MRPS18C",3.32892388814825e-19,-0.583792025991884,0.343,0.552,6.15584605396373e-15
"SOCS3",3.82362464476125e-19,-1.26455056197675,0.157,0.364,7.0706466930925e-15
"SARNP",3.87653665980781e-19,1.35944064869328,0.402,0.224,7.16849159131661e-15
"EMP3",3.88011804245345e-19,-0.423596514882899,0.593,0.843,7.17511428410492e-15
"GPS2",3.93992857392743e-19,1.4154800801121,0.39,0.212,7.2857159189066e-15
"COPZ1",3.96885773964728e-19,-0.429856322365409,0.47,0.677,7.33921173215575e-15
"MRPL52",3.97817239033845e-19,-0.416673224772229,0.493,0.711,7.35643638421386e-15
"MRPS33",4.15659292436234e-19,-0.739317276563478,0.327,0.525,7.68637163573084e-15
"PHACTR1",4.21571824570264e-19,-1.52949332443831,0.194,0.392,7.79570617995332e-15
"TXN2",4.21902503326312e-19,-0.438444023953867,0.428,0.635,7.80182109151017e-15
"UBE2D3",4.57236004248166e-19,-0.245925470146524,0.624,0.87,8.45520819055708e-15
"ETV5",4.63101991539609e-19,-0.931145203849118,0.285,0.479,8.56368202755045e-15
"MRPL57",4.99428816048995e-19,-0.318022881697995,0.502,0.735,9.23543766637802e-15
"ITFG1",5.10162818596442e-19,-1.20540464742054,0.266,0.445,9.43393084148541e-15
"DAZAP2",5.27082944485513e-19,-0.387555481564027,0.565,0.788,9.7468178094261e-15
"CIRBP",5.45362947116091e-19,-0.308139550325369,0.586,0.833,1.00848516180708e-14
"TOMM22",5.7319074029073e-19,-0.713892782265007,0.386,0.56,1.05994431694562e-14
"BTF3L4",6.18972805559583e-19,-0.51548891550185,0.404,0.614,1.14460451204078e-14
"CKLF",6.72054503017937e-19,-0.637180694485339,0.449,0.667,1.24276318698077e-14
"FKBP8",8.0791826868776e-19,-0.321920016117145,0.519,0.745,1.49400246245741e-14
"RSU1",8.26077933449807e-19,-0.590128589959532,0.348,0.542,1.52758331453538e-14
"DUSP23",8.86576250881564e-19,-0.790616049326383,0.35,0.545,1.63945680313019e-14
"MRPL27",1.1921821382651e-18,-0.490425486677547,0.414,0.596,2.20458321007982e-14
"YPEL5",1.20155769170878e-18,-0.581420540434432,0.346,0.548,2.22192048350787e-14
"BLVRB",1.23083083289268e-18,0.311278275748511,0.764,0.959,2.27605237618514e-14
"NAPA",1.23487640266671e-18,-0.605978230707602,0.402,0.579,2.28353344381128e-14
"UBE2L6",1.37506059397684e-18,-0.629906415036875,0.379,0.575,2.54276205038197e-14
"DRAP1",1.42229047390047e-18,-0.298543079185603,0.544,0.773,2.63009954433675e-14
"TMEM60",1.77963685944383e-18,-1.07717504770391,0.243,0.437,3.29090448048353e-14
"TIMM17B",1.85038277889984e-18,-0.78538517236246,0.367,0.548,3.42172783474158e-14
"REXO2",2.0016605099224e-18,-0.3432212066179,0.36,0.556,3.7014706149485e-14
"NDUFV3",2.00877062056823e-18,-0.626467372550985,0.414,0.599,3.71461863155477e-14
"MTCH2",2.06101302624955e-18,-0.651809395060429,0.376,0.565,3.81122528814067e-14
"SLC38A6",2.11330839530888e-18,-0.857337278557108,0.32,0.516,3.90792988460519e-14
"PPIC",2.26949441291104e-18,-1.0565905624213,0.143,0.344,4.1967490683551e-14
"MRPL22",2.27301689890932e-18,-0.921672349061215,0.318,0.493,4.20326284946312e-14
"UQCRC1",2.39193120384819e-18,-0.2606544408054,0.435,0.636,4.42315918215608e-14
"CD68",2.5338414370982e-18,0.291680341022717,0.757,0.957,4.68557958548198e-14
"ZGPAT",2.53691323784597e-18,2.3184343633,0.189,0.074,4.69125995942477e-14
"NAIP",2.8802355923626e-18,-0.702448502965334,0.428,0.595,5.32613165739692e-14
"CREG1",2.96089248533527e-18,0.396593943767736,0.729,0.829,5.47528238388199e-14
"CHCHD5",2.9880972991042e-18,-0.779325450453556,0.36,0.545,5.52558952550348e-14
"LSM8",3.36151534067459e-18,-0.425241994399606,0.456,0.656,6.21611416797544e-14
"CLIC1",3.43113528360025e-18,0.33912356510675,0.78,0.953,6.34485536643358e-14
"SDCCAG8",3.47201168652608e-18,-0.51551872162733,0.446,0.654,6.42044401072403e-14
"MAGOH",3.51159704342481e-18,-0.658507590304024,0.374,0.562,6.49364525270116e-14
"DPY30",3.54559297446829e-18,-0.457160672023813,0.383,0.591,6.55651052838676e-14
"PVALB",3.56968719770757e-18,-1.53896866881269,0.129,0.322,6.60106556600083e-14
"C1QC",3.70531497347983e-18,0.267711422159268,0.759,0.927,6.8518684489589e-14
"PAM16",4.53108245864001e-18,2.26296139179578,0.175,0.065,8.37887768251711e-14
"CCR1",4.57225939088691e-18,-0.481274033549342,0.505,0.717,8.45502206562808e-14
"RNF149",4.62099403106932e-18,-0.786794053916078,0.397,0.564,8.54514216225339e-14
"COL4A1",4.66941526187593e-18,2.1949257500721,0.39,0.241,8.63468270226096e-14
"FAAP20",4.69963518254733e-18,-0.490538373786488,0.423,0.627,8.69056537956652e-14
"KRT19",4.79573849700476e-18,1.92708688471923,0.505,0.349,8.8682796286612e-14
"CDKN1A",5.45006248983133e-18,-1.23984696994369,0.157,0.354,1.00782555561961e-13
"LPAR6",5.79309048830883e-18,-0.688358489278327,0.467,0.651,1.07125829309807e-13
"SNX6",6.45046542927636e-18,0.426305748250581,0.757,0.878,1.19282006718178e-13
"LAMTOR5",6.57669441316387e-18,-0.248273592436134,0.6,0.85,1.21616233088226e-13
"MRPL13",6.61479453288373e-18,-0.705029434758596,0.283,0.474,1.22320780502086e-13
"NME1",6.94572348769038e-18,-0.630913930000928,0.339,0.536,1.2844031873437e-13
"TFPT",7.01892827490767e-18,-0.910294359438409,0.355,0.532,1.29794021659593e-13
"MKNK1",7.18901028136609e-18,-0.481205436098445,0.537,0.772,1.32939178123022e-13
"ANXA5",7.54553288008551e-18,0.511370194757848,0.834,0.928,1.39531994018541e-13
"LGALS9",7.59331175923827e-18,-0.495755281751177,0.498,0.704,1.40415521051834e-13
"YIF1B",8.07853230302532e-18,-1.28832889245086,0.245,0.429,1.49388219347544e-13
"PSMB2",8.82948850492475e-18,-0.239777820736338,0.498,0.705,1.63274901433068e-13
"CSF1R",9.35866572903308e-18,0.35037824833669,0.75,0.918,1.7306044666128e-13
"ANKRD28",9.81726573076512e-18,-1.75416257340248,0.131,0.315,1.81540877893309e-13
"EIF3M",9.94536153515958e-18,-0.497597054354902,0.465,0.655,1.83909625508171e-13
"LCP2",1.04637105496607e-17,-0.864267304113935,0.332,0.503,1.93494935484325e-13
"GABARAPL2",1.16236587669367e-17,-0.236834594118823,0.505,0.718,2.14944697918193e-13
"NDUFAB1",1.22540526216267e-17,-0.281738101588416,0.491,0.706,2.26601941079121e-13
"UQCRFS1",1.48142109457358e-17,-0.274653042392292,0.47,0.686,2.73944388808546e-13
"HCLS1",1.51018638859218e-17,-0.594310390182095,0.367,0.551,2.79263666978465e-13
"BANF1",1.55848849851692e-17,-0.334826367255855,0.54,0.768,2.88195693145748e-13
"MRPL28",1.61295095015873e-17,-0.854252068004074,0.306,0.498,2.98266889703352e-13
"PIN1",2.03411076134454e-17,-0.582106785946248,0.371,0.561,3.76147761987833e-13
"RAB11B",2.28673462638168e-17,-0.582698960521249,0.367,0.553,4.228629671105e-13
"PTRHD1",2.3762535241401e-17,-0.478246046379775,0.364,0.533,4.39416801683987e-13
"UXT",2.46642025251065e-17,-0.315471783678191,0.551,0.76,4.5609043309427e-13
"CNIH4",2.47102865991377e-17,-1.00143219618426,0.278,0.466,4.56942619791253e-13
"RBM47",2.55034236766264e-17,-0.506829907723914,0.474,0.624,4.71609310628175e-13
"ATP6V1E1",2.61563530905464e-17,-0.315473543566568,0.505,0.7,4.83683281350384e-13
"ORAI3",2.8539338527094e-17,-0.981083499350854,0.301,0.478,5.27749448043022e-13
"MRPL41",3.01532201933199e-17,-0.390014493591778,0.512,0.72,5.57593347814871e-13
"PDE4B",3.2277259953201e-17,-2.89831982893342,0.072,0.239,5.96871091054593e-13
"CAPZA2",3.46777597543116e-17,-0.349870424665153,0.626,0.858,6.4126113337673e-13
"ARRB2",3.48275925609598e-17,-0.51008772631734,0.535,0.785,6.44031841637269e-13
"RALY",3.66344450136303e-17,-0.410752047576536,0.435,0.628,6.77444157192052e-13
"APRT",3.6744558573203e-17,-0.370731561188814,0.57,0.788,6.79480377135669e-13
