"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0061900","glial cell activation",27,0.580713973539656,1.8566895150817,0.0032685308801087,0.0253682567172073,0.0186884899604301,548,"tags=26%, list=9%, signal=24%","IL1B/CCL3/TNF/APP/C5AR1/PSEN1/TLR2","Preterm",7
"GO:2000319","regulation of T-helper 17 cell differentiation",10,0.763164253267966,1.84550349958539,0.00331196906341955,0.0256568038221046,0.0189010591461293,477,"tags=60%, list=8%, signal=56%","ZC3H12A/NFKBID/NFKBIZ/MALT1/RC3H1/JUNB","Preterm",6
"GO:0003407","neural retina development",14,0.686026300583724,1.84739886931725,0.00335583620333239,0.0259475787948229,0.0191152695752876,1134,"tags=64%, list=18%, signal=53%","HES1/PRDM1/PSEN1/ATP2B4/NOTCH1/SMARCA4/PTPRM/STAT3/HIPK2","Preterm",9
"GO:0002443","leukocyte mediated immunity",179,0.332747966868114,1.50027281637242,0.0033944026523808,0.0261963504132891,0.0192985366379783,1153,"tags=28%, list=18%, signal=23%","IL1B/NR4A3/CCL3/ADGRE2/NFKBIZ/SERPINB9/NLRP3/HSPD1/TREM1/ICAM1/TNF/TFRC/TICAM1/RABGEF1/AHR/TRAF6/MALT1/ADAM17/TUBB4B/BCL6/BCL3/DDX21/ARID5A/CARD9/IRF7/PLEKHM2/CLEC7A/KDM5D/SUPT6H/GNL1/STX4/WAS/STAT6/FCGR2B/TUBB/TGFB1/RNF19B/HLA-C/HLA-B/TCIRG1/ZBTB1/CD55/KMT2E/HLA-E/FBXO38/ARL8B/TP53BP1/JAK3/DHX36/AP1G1","Preterm",50
"GO:0030029","actin filament-based process",321,0.278362603806631,1.3598231983894,0.00341442469934456,0.0263013391314173,0.0193758805653347,1366,"tags=30%, list=22%, signal=24%","CDC42EP3/ABL2/ALDOA/RND3/TNF/PHACTR1/PDE4B/NEDD9/PTGER4/MYO1E/PLEKHG2/SPTBN1/BCL6/ZYX/JMY/MTOR/ELMO2/PSTPIP2/EZR/BRAF/MINK1/MYADM/TTN/ARHGAP26/DNAJB6/ATP2A2/PIP5K1A/ELMO1/GAS7/FMNL2/MICAL2/RGCC/STARD8/RHOB/MYO7A/BAIAP2/HCLS1/C9orf72/FMN1/TAGLN2/CNN2/FMNL1/SPTAN1/PTPN1/INF2/ARHGAP17/ARHGEF11/WAS/FLII/TLN1/PREX1/EEF2K/ARHGAP6/WASL/MYH9/PLEC/TRIM27/GAS2L3/CFLAR/HSP90B1/HCK/MYO9B/EPB41/KCNQ1/SUN2/FCHSD2/PPFIA1/SNX9/CDC42BPB/SMAD4/SLC4A2/ATP1A1/SHC1/PIK3R1/PLEK/LRP1/PAFAH1B1/STARD13/AKAP13/SSH2/LIMK2/ZEB2/TBCK/PARVB/NISCH/FGD2/FGD5/CALR/RHOT2/TPM4/FGD3/TTC17/ARHGAP35/ADD1/MYO5A","Preterm",95
"GO:0070233","negative regulation of T cell apoptotic process",10,0.761054347252028,1.84040127038698,0.00343240285346443,0.0263557773424626,0.019415984541415,1117,"tags=70%, list=18%, signal=58%","CCL5/ARG2/BCL3/TSC22D3/VHL/HIF1A/JAK3","Preterm",7
"GO:0002711","positive regulation of T cell mediated immunity",29,0.54264129908726,1.77519279065437,0.00343508472067591,0.0263557773424626,0.019415984541415,1069,"tags=41%, list=17%, signal=35%","IL1B/NLRP3/HSPD1/TRAF6/MALT1/ARID5A/HLA-C/HLA-B/ZBTB1/CD55/HLA-E/FBXO38","Preterm",12
"GO:0071900","regulation of protein serine/threonine kinase activity",128,0.365918928910438,1.59076312806885,0.00344078596344986,0.0263557773424626,0.019415984541415,672,"tags=21%, list=11%, signal=19%","IL1B/TRIB1/ERN1/CDKN1A/VEGFA/CCNH/TNF/SYAP1/TRAF6/ADAM17/CCNT1/SPRY2/SIRT1/SERTAD1/ADRB2/GTPBP4/DNAJA1/RGCC/RPTOR/RGS14/CCNK/GTF2H1/CDC37/DUSP1/PTPN1/ATP2B4/HTT","Preterm",27
"GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response",26,0.570463673529736,1.7901711988038,0.00350458065818161,0.0267943498828885,0.0197390756631282,385,"tags=31%, list=6%, signal=29%","NR4A3/PANX1/RIPK2/TICAM1/DDX21/SIRT1/MAPKAPK2/CARD9","Preterm",8
"GO:0046822","regulation of nucleocytoplasmic transport",72,0.402896578323275,1.58275287955723,0.00354751057455737,0.0270720639376836,0.0199436642709606,819,"tags=19%, list=13%, signal=17%","IL1B/ZC3H12A/BAG3/PTGS2/IER3/NSUN2/HCLS1/SUPT6H/PSEN1/HSP90AA1/PRKACA/EMD/TGFB1/ZPR1","Preterm",14
"GO:0048536","spleen development",16,0.652814618411436,1.82153888142271,0.00357376521221909,0.0272217283265313,0.0200539202282222,391,"tags=38%, list=6%, signal=35%","NFKBIZ/NFKB2/ADAM17/BCL3/RC3H1/CITED2","Preterm",6
