"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0090685","RNA localization to nucleus",17,-0.625100750356707,-1.93613807051292,0.00245105161974662,0.143349937673789,0.137540029572119,1329,"tags=59%, list=14%, signal=51%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/CCT6A/NOP10/TCP1/CCT7"
"GO:1904872","regulation of telomerase RNA localization to Cajal body",17,-0.625100750356707,-1.93613807051292,0.00245105161974662,0.143349937673789,0.137540029572119,1329,"tags=59%, list=14%, signal=51%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/CCT6A/NOP10/TCP1/CCT7"
"GO:0035082","axoneme assembly",16,0.73433309925246,1.81627895179012,0.00230643786365055,0.143349937673789,0.137540029572119,275,"tags=31%, list=3%, signal=30%","SPAG16/ARMC2/TTLL3/DNAH1/MNS1"
"GO:0051446","positive regulation of meiotic cell cycle",10,0.807408116447891,1.80153446976885,0.00220345861502122,0.143349937673789,0.137540029572119,521,"tags=40%, list=6%, signal=38%","PLCB1/RAD51AP1/INSR/MSX2"
"GO:0072567","chemokine (C-X-C motif) ligand 2 production",15,0.731652406256606,1.79287504293556,0.00232214929323945,0.143349937673789,0.137540029572119,782,"tags=33%, list=8%, signal=31%","OAS3/TNF/MAP2K5/OAS1/F2RL1"
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production",15,0.731652406256606,1.79287504293556,0.00232214929323945,0.143349937673789,0.137540029572119,782,"tags=33%, list=8%, signal=31%","OAS3/TNF/MAP2K5/OAS1/F2RL1"
"GO:0002431","Fc receptor mediated stimulatory signaling pathway",26,0.644797483743573,1.76588330199241,0.00248881958273358,0.143349937673789,0.137540029572119,1573,"tags=35%, list=17%, signal=29%","FCGR2B/PRKCE/NR4A3/PTK2/PLD2/RABGEF1/YES1/VAV3/VAV2"
"GO:0016571","histone methylation",33,0.600296368002549,1.70794951451756,0.0024794536960893,0.143349937673789,0.137540029572119,3030,"tags=70%, list=33%, signal=47%","AUTS2/SMYD3/KANSL3/SMYD2/SETD1B/EHMT1/DOT1L/KANSL1/SETBP1/ASH1L/KMT2A/EHMT2/SETD1A/OGT/MECP2/RBBP5/SETD2/KMT2B/BAZ2A/HCFC1/SETDB2/SETDB1/WDR5"
"GO:0048144","fibroblast proliferation",66,-0.382194614071714,-1.60528426589175,0.002413620959092,0.143349937673789,0.137540029572119,1300,"tags=32%, list=14%, signal=28%","CD248/BRK1/FOSL2/CKS1B/EMD/CTNNB1/ZMPSTE24/BAX/FN1/NUPR1/GNG2/BMI1/PEX2/SOD2/CDK4/COL3A1/TRIM32/B4GALT7/MYC/S100A6/CDKN1A"
"GO:0007268","chemical synaptic transmission",269,0.401071490608324,1.4190286926207,0.00233337560308965,0.143349937673789,0.137540029572119,1925,"tags=30%, list=21%, signal=25%","PLCB1/SYN3/RPS6KA2/EGR2/ROR2/PRKCE/EGR3/BTBD9/SIPA1L1/CX3CR1/DYSF/APBA3/MME/AKAP12/STX3/TNF/CDH1/ABHD6/TRIO/SLC4A8/CDKL5/TMOD2/PRKCZ/EPHB2/GABRA3/CELF4/CPEB3/DAG1/DNM1/MCTP2/P2RX7/DISC1/EXOC4/EXT1/AKAP9/STXBP5/OPHN1/ADRB2/SYT11/SYNE1/DGKE/ABR/SLC12A6/SLC38A1/AKAP7/RETN/FBXL20/CEP89/PLCL2/GIT1/SYAP1/SNAP47/PRKCB/STX2/CLN3/PTPRA/UNC13B/SLC6A6/TSHZ3/RGS14/CLSTN1/PLCL1/ZMYND8/BRAF/GRIA4/KIF1B/S1PR2/MINK1/ABAT/PDE9A/RAPGEF2/CACNB4/KAT2A/SYT1/SLC38A2/NEFH/KMT2A/ERC1/DTNA/PTK2B/SYNJ1"
