"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHD1",0.000200760779981613,0.137488950183567,0.42,0.343,1
"CLPTM1",0.000200885678034513,0.153865858545766,0.234,0.179,1
"YWHAZ",0.000201328701095809,0.0212594972813964,0.617,0.534,1
"SAMD9",0.000202437216523827,0.174635160511429,0.196,0.145,1
"TMEM63B",0.000202706098216421,0.0829174519520245,0.247,0.186,1
"POLK",0.000202741093810134,0.26461631822373,0.28,0.217,1
"TESK1",0.000204481014721765,0.590759119936078,0.104,0.068,1
"SH3PXD2A",0.000205140852049127,0.115063830479041,0.225,0.168,1
"GALNT6",0.000205523906857425,0.363270043141603,0.127,0.085,1
"NAA60",0.000205775481434822,0.204047157797075,0.194,0.144,1
"ATXN2",0.000205903145837,0.135214274553937,0.274,0.209,1
"CAPG",0.000207040265390905,0.355444385832263,0.11,0.072,1
"SLC9A1",0.000207524250087087,0.268947125741998,0.122,0.082,1
"ABL2",0.000213973081167617,0.242344791515925,0.237,0.181,1
"ESRRA",0.00021633091059452,0.195385067624983,0.157,0.109,1
"GOLGA2",0.000219060579250223,0.209217535477785,0.217,0.163,1
"HOMER3",0.000219716691478734,0.0117472515550665,0.392,0.314,1
"WDR45B",0.000220305202253854,0.0365453426667297,0.335,0.264,1
"CSGALNACT2",0.000221681508049853,0.408241967168862,0.153,0.109,1
"GBGT1",0.00022360025476276,0.4234157225435,0.13,0.089,1
"PTER",0.000227456703147974,0.489404492939349,0.128,0.088,1
"ZBTB1",0.000230298330038631,0.095988224163031,0.315,0.251,1
"ARRB1",0.000230441297668784,0.162743776591228,0.24,0.181,1
"ILK",0.000232456193011977,0.0118697474360657,0.294,0.228,1
"TOLLIP",0.00023432150540529,0.109565803852942,0.228,0.172,1
"BAG4",0.000234352223813669,0.239165341002809,0.267,0.209,1
"ARIH1",0.000235063199128815,0.0620148542530379,0.392,0.314,1
"CYTH3",0.00023847762525592,0.428244083894848,0.137,0.096,1
"SMDT1",0.000241501665765491,0.397276886911953,0.275,0.218,1
"ECH1",0.0002438830184373,0.301533991647689,0.252,0.197,1
"ZMYM2",0.000244800272111641,0.101163349882381,0.341,0.273,1
"OXCT1",0.000245070909075833,0.489240606714389,0.124,0.084,1
"MFAP1",0.000245666908628897,0.135690090692007,0.19,0.139,1
"ZBTB20",0.000246767706712821,0.13363106528346,0.245,0.184,1
"EIF3A",0.000251961475252934,0.108722199343674,0.522,0.435,1
"UBAP2",0.000252468364831447,0.249924159633875,0.117,0.078,1
"REST",0.000252472890039111,0.163709031766618,0.277,0.215,1
"ZNF410",0.000252734163419382,0.466393601414848,0.102,0.065,1
"LRCH1",0.000253261194152181,0.251335701917139,0.258,0.2,1
"GPR65",0.000255001884243716,-0.518312893243983,0.211,0.25,1
"BAG6",0.000255276022381616,0.248946327838295,0.181,0.132,1
"ODC1",0.000255384755670557,0.351759501669704,0.198,0.15,1
"APOL2",0.000256461166482989,0.300935107861784,0.126,0.085,1
"FOLR2",0.000259399344024086,-0.134140874219178,0.934,0.906,1
"RASAL2",0.000259787210039682,0.238937558972773,0.195,0.145,1
"RBBP5",0.000261362917485192,0.0978133165407307,0.133,0.091,1
"KBTBD2",0.000261505036593518,0.130653695565286,0.242,0.185,1
"PPP1R9B",0.000269935387838585,0.0847886038873637,0.253,0.193,1
"AP1AR",0.000273155785387176,0.252284813012478,0.219,0.166,1
"RPS5",0.000273728905851723,-0.160744089861621,0.809,0.787,1
"ZNF675",0.000274020864201456,0.502471264820686,0.12,0.081,1
"HOXB6",0.000274570446285128,0.0388938281763104,0.173,0.125,1
"EFHD2",0.00027458508145317,0.0898521841967435,0.619,0.525,1
"IRF9",0.000276751977398913,0.410055045439098,0.224,0.172,1
"GZF1",0.000281067440456136,0.231806970912517,0.215,0.162,1
"ITGA9",0.000281509966369436,-0.610730016621011,0.131,0.168,1
"MLF2",0.000282273430246689,0.131320470664862,0.295,0.232,1
"LRRC58",0.000282774247334634,0.125937261651,0.322,0.258,1
"SERPINB9",0.000284209775204288,0.299366340005129,0.223,0.17,1
"UBE2R2",0.000284668824970076,0.0758231496550037,0.334,0.266,1
"CHMP2B",0.000286355489546156,-0.0131058993882268,0.307,0.241,1
