"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EEF1G",3.82868107922798e-07,-0.102572827444651,0.67,0.677,0.00707999705170838
"RAP2B",3.96853411712672e-07,-0.18601540563784,0.635,0.647,0.00733861328939073
"ABHD3",3.97823927177638e-07,0.169026630664753,0.456,0.391,0.00735656006136888
"DENND5A",4.00917330317212e-07,0.299079073396246,0.251,0.195,0.00741376327222589
"ITPRIP",4.01956158594967e-07,0.523699880013702,0.192,0.145,0.00743297328473813
"NSRP1",4.05662490172122e-07,0.268324047896345,0.24,0.184,0.00750151076826288
"DGKH",4.117737103384e-07,0.593070037715171,0.131,0.09,0.00761451945157769
"TMCO1",4.17519760481159e-07,-0.319600979580319,0.336,0.388,0.00772077541081758
"CREBRF",4.18798491547336e-07,0.263830219437671,0.373,0.31,0.00774442170569334
"DTNBP1",4.31284908677689e-07,0.244071853024151,0.258,0.203,0.00797532053126782
"TAOK3",4.31630474900211e-07,0.194432258673663,0.442,0.388,0.0079817107418547
"CD28",4.38765259593966e-07,-0.253495378483931,0.531,0.565,0.00811364718041161
"RNF111",4.43637231995911e-07,0.312483835832916,0.247,0.195,0.00820373969406839
"ZNF654",4.61064348184399e-07,0.343739201455771,0.175,0.128,0.0085260019266259
"CCDC144A",4.72280724491819e-07,0.396306838892645,0.213,0.165,0.00873341515730272
"TRANK1",4.76106410174745e-07,0.510447493405235,0.141,0.098,0.00880415973695138
"TLE3",4.91692924224569e-07,0.466855375467107,0.2,0.152,0.00909238555476072
"HMGB3",5.00511947182552e-07,0.799197964145634,0.109,0.072,0.00925546692729976
"TMEM135",5.13168863883148e-07,0.416349565799193,0.104,0.067,0.00948951863092718
"METTL15",5.15063313545749e-07,0.417140252797847,0.16,0.114,0.00952455079408798
"LIMK2",5.25056047302107e-07,0.334498049186866,0.256,0.204,0.00970933642671057
"ARHGAP31",5.34120218290902e-07,0.777413295926476,0.116,0.077,0.00987695107663535
"IER5L",5.36277643330581e-07,0.275045552375697,0.369,0.305,0.0099168461804691
"DNAJB2",5.45437680512937e-07,0.495332354403512,0.218,0.169,0.0100862335880452
"MALT1",5.58654529058243e-07,0.297161432413729,0.185,0.137,0.010330639551345
"UGCG",5.58671144154096e-07,0.31960948826891,0.31,0.254,0.0103309467976975
"TMEM258",5.78141582804862e-07,-0.204861836076547,0.535,0.572,0.0106909941492275
"CYCS",5.87170835748473e-07,0.159737166849789,0.409,0.35,0.0108579630946608
"FTX",5.94482991561182e-07,0.468706593447296,0.283,0.235,0.0109931794799494
"KIF16B",5.98883765822043e-07,0.145339645340076,0.266,0.209,0.0110745585975812
"GNB4",6.02326493694041e-07,-0.26173313593572,0.408,0.454,0.0111382215213902
"AIF1",6.06650151401546e-07,-0.0913888970509795,0.777,0.751,0.0112181745997174
"PLCG2",6.13206363073168e-07,0.233472987386017,0.326,0.266,0.011339412065949
"EIF2AK2",6.1393593878206e-07,0.183609548139349,0.34,0.277,0.0113529033799579
"RPTOR",6.17249076158106e-07,0.654462485190793,0.112,0.074,0.0114141699163157
"CLOCK",6.23183984526521e-07,0.312936827563997,0.198,0.149,0.0115239182418644
"ZFP36",6.38460200192824e-07,0.142420113482759,0.657,0.598,0.0118064060219657
"SERTAD2",6.51119361482065e-07,0.406372176656054,0.277,0.226,0.0120404992325263
"MRPL33",6.56386244501073e-07,-0.365808702809864,0.304,0.357,0.0121378944333138
"ARPC1B",6.65300879114097e-07,-0.080191788380001,0.79,0.773,0.0123027438565779
"STAG1",6.70327036362612e-07,0.269470708245594,0.296,0.244,0.0123956875564174
"COX7C",6.79025833143391e-07,-0.150894559995197,0.735,0.742,0.0125565457064876
"MRPL13",7.05209937566549e-07,-0.390663064756994,0.151,0.197,0.0130407421654806
"TBRG1",7.12813011507909e-07,0.180332657461363,0.266,0.209,0.0131813382088043
"MYO9B",7.31664235665971e-07,0.215301205175514,0.449,0.386,0.0135299350459351
"HDLBP",7.32571910130355e-07,0.240988491153696,0.452,0.391,0.0135467197621305
"CLSTN1",7.4445374963072e-07,0.369647143684985,0.309,0.255,0.0137664387381713
"PPP1R21",7.45157827984822e-07,0.299783403169709,0.305,0.25,0.0137794585550953
"SETD5",7.46540486877993e-07,0.325098584175814,0.279,0.225,0.0138050266833478
"SH3BGRL",7.70978772213532e-07,-0.134255425128312,0.78,0.783,0.0142569394557726
"S100A8",7.82237565633668e-07,-0.600781477027073,0.112,0.151,0.0144651370636978
"ARG2",7.93327144877397e-07,0.454256647031741,0.114,0.075,0.0146702055630728
"CHD8",8.18253907927368e-07,0.267641602984326,0.266,0.213,0.0151311512653929
"NIN",8.25158967968441e-07,0.32288810291565,0.311,0.256,0.0152588396356724
"NT5C2",8.27529577233642e-07,0.265848904978289,0.272,0.22,0.0153026769422045
"ITPR2",8.28293884928641e-07,-0.155824635270573,0.663,0.687,0.0153168105201004
"TGFB1",8.30012304246257e-07,-0.239371864426125,0.527,0.568,0.0153485875301218
"MCL1",8.47308210882815e-07,0.164523152337259,0.595,0.544,0.015668423435645
