"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PLXNB2",0.0178166572891356,0.0639025119150504,0.42,0.387,1,"PLXNB2"
"PFDN6",0.0178788429746211,-0.153232932814983,0.117,0.135,1,"PFDN6"
"TOMM20",0.0179019344622023,0.0563301246486236,0.485,0.452,1,"TOMM20"
"DCAF10",0.0179753285595684,0.0786101508186436,0.14,0.121,1,"DCAF10"
"MRPL34",0.0179974246107922,0.121411462124578,0.334,0.307,1,"MRPL34"
"CDK11B",0.0180063461660012,0.166441289567163,0.117,0.099,1,"CDK11B"
"TBC1D12",0.0180451399090355,0.0106345712665239,0.294,0.268,1,"TBC1D12"
"BDH2",0.0180696603147971,0.27759612720862,0.107,0.092,1,"BDH2"
"RHOBTB3",0.0182070938888001,0.0274829276247819,0.313,0.286,1,"RHOBTB3"
"GORASP2",0.0183460803867757,-0.217577657332368,0.144,0.162,1,"GORASP2"
"COMMD9",0.0183519707688192,-0.214814944189317,0.199,0.219,1,"COMMD9"
"RAB5B",0.0183797532995451,-0.236454615798142,0.173,0.193,1,"RAB5B"
"DIP2B",0.0183850171451148,0.077246858941346,0.422,0.401,1,"DIP2B"
"TMEM65",0.0184073058248516,0.0762583526750859,0.205,0.183,1,"TMEM65"
"CASP1",0.0184185818267321,-0.163437247771968,0.337,0.357,1,"CASP1"
"PSMD7",0.0184369164082169,0.127065985432414,0.318,0.293,1,"PSMD7"
"XRCC4",0.018506440483393,0.0314474646401735,0.11,0.093,1,"XRCC4"
"TBC1D15",0.0185082680676773,0.0593555280443875,0.307,0.282,1,"TBC1D15"
"PRDM4",0.0185359507962731,0.221988446633065,0.109,0.093,1,"PRDM4"
"CWC27",0.0185540084140783,0.0966915227527176,0.156,0.136,1,"CWC27"
"HMGA1",0.018579547245599,0.0943431542119387,0.247,0.224,1,"HMGA1"
"MVD",0.0186402258132152,0.215244193687251,0.135,0.117,1,"MVD"
"NEURL2",0.0186541306962035,0.28659419183349,0.186,0.168,1,"NEURL2"
"DPYD",0.0187727824149739,-0.218647325997222,0.205,0.224,1,"DPYD"
"GLYR1",0.0187770330258139,0.0806750560259024,0.268,0.244,1,"GLYR1"
"NDUFA6",0.018821935690801,-0.067323410627108,0.229,0.253,1,"NDUFA6"
"MSH6",0.0188393368813661,0.117592362153244,0.154,0.134,1,"MSH6"
"PDE4A",0.0189452332218762,0.250563576415981,0.119,0.102,1,"PDE4A"
