"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FRG1",0.19071725441238,-0.00168769717754286,0.267,0.239,1
"C4orf48",0.190848865706311,-0.0248127372439446,0.674,0.66,1
"TNFRSF12A",0.190904465940453,-0.738818500543668,0.057,0.071,1
"TIAL1",0.191091029117833,0.0691198081210267,0.374,0.338,1
"MTHFD2",0.191158020271847,-0.511847185586124,0.121,0.138,1
"C18orf32",0.191160367319639,-0.0315735665346304,0.462,0.483,1
"REXO1",0.191290962041966,0.262801355233161,0.129,0.11,1
"JOSD2",0.191423338603599,-0.191374926537178,0.161,0.183,1
"MAP3K12",0.191706537592146,-0.127363442953775,0.088,0.105,1
"TNS2",0.19196476525001,-0.109883584804638,0.132,0.112,1
"TP53BP1",0.191991666284163,0.121507205739276,0.165,0.142,1
"UTP6",0.192275541852373,0.15848213359026,0.24,0.213,1
"PECR",0.192319194310358,-0.0101628711037209,0.06,0.047,1
"DRAM2",0.192498077294373,-0.164451775973695,0.531,0.539,1
"LATS1",0.192644022914549,-0.123657887553479,0.295,0.263,1
"MRPL41",0.192744972148984,-0.138369140888122,0.432,0.447,1
"CPNE8",0.192821320261719,0.0733293888362177,0.269,0.246,1
"CEP63",0.192936631475656,0.033269661967656,0.228,0.202,1
"NDUFA6",0.192946252169431,0.00938764429146044,0.308,0.337,1
"NAGPA",0.19302117956557,0.313785684246711,0.172,0.152,1
"SSH3",0.193077943331381,0.0614229151969772,0.063,0.049,1
"TAL1",0.193192424461699,0.0837510510550087,0.247,0.221,1
"ENTPD1-AS1",0.193391014100342,0.149852966558902,0.106,0.088,1
"CLEC2B",0.193426743667452,-0.253051862589376,0.321,0.343,1
"CAMKK2",0.193485861459532,0.135849236698274,0.149,0.129,1
"CLDN7",0.193526381428635,0.194728850640887,0.13,0.11,1
"NUP133",0.193546119382749,0.0997560537763296,0.151,0.131,1
"MCUR1",0.193743735035616,-0.186781009684473,0.266,0.284,1
"GIMAP1",0.193757337721883,-0.136523793813904,0.416,0.433,1
"ARPIN",0.193795751090809,0.0456275037510317,0.275,0.246,1
"YTHDC2",0.193903587799524,0.150315460742542,0.354,0.337,1
"SPIRE1",0.193912433631336,0.0385339286533313,0.293,0.272,1
"YME1L1",0.194046917139904,-0.000926810223516927,0.457,0.409,1
"PLOD3",0.194162452821074,0.165140967916267,0.216,0.193,1
"TBC1D9",0.194342621667747,-0.0469973485434784,0.484,0.433,1
"RECK",0.194407221423929,0.108558024138112,0.149,0.13,1
"KBTBD6",0.194563132733617,0.0558314198712582,0.05,0.038,1
"TFDP1",0.194585591652324,0.342745202438551,0.19,0.167,1
"CCNK",0.194587115834629,0.143508967058645,0.196,0.175,1
"PDIK1L",0.19480883935746,0.0851494835151035,0.197,0.171,1
"KLF4",0.194872604941708,-0.108695142941903,0.312,0.335,1
"EIF4E",0.194885353002665,-0.144608312217751,0.28,0.302,1
"TGFB1I1",0.194962404812656,0.399999548445794,0.06,0.047,1
"ZPR1",0.195082249744154,-0.209902758032737,0.108,0.125,1
"ING2",0.195167767230763,-0.0110285283855935,0.123,0.104,1
"GTPBP10",0.19522957604606,-0.0711464582538659,0.132,0.112,1
"GALNS",0.19532904099207,0.607707190212531,0.072,0.058,1
"TM2D2",0.195425911016962,0.0420347972360358,0.63,0.579,1
"STX4",0.19548259354091,-0.282482835661204,0.294,0.311,1
"RTN3",0.195567367991142,-0.170467628467234,0.545,0.54,1
"EIF2AK3",0.195677006178798,-0.266366604560249,0.086,0.069,1
"ALG14",0.195705512504343,-0.634811340612081,0.055,0.068,1
"ARL8A",0.195840608874846,-0.181438369367497,0.423,0.439,1
"SDC3",0.195900801406328,0.0579822654053425,0.412,0.378,1
"ING3",0.19609546693507,0.00797937640989366,0.16,0.137,1
"RRP1B",0.196225100492332,-0.0556891066596765,0.224,0.198,1
"UBALD2",0.196435726010443,-0.324511542448264,0.319,0.331,1
"RPP38",0.196490569238116,0.353602614772367,0.119,0.1,1
"PUSL1",0.196980636679777,-0.556769202715378,0.056,0.069,1
"IFT27",0.197377881808492,0.0388385146902124,0.126,0.146,1
"UNC93B1",0.197469981096314,-0.144494255055915,0.569,0.583,1
"BRF2",0.197515760382731,0.288026838119583,0.068,0.054,1
"HAUS7",0.197564608332886,0.425146275586124,0.085,0.069,1
"STK16",0.197747805487067,-0.643928578447476,0.079,0.094,1
"HMGN3",0.197751725216248,-0.219853213760326,0.423,0.44,1
"APOC1",0.197775699805125,0.446858602127008,0.09,0.074,1
"FLII",0.198208217063817,-0.0198012554473666,0.342,0.305,1
"MSH6",0.198386589178995,0.0637658744421084,0.15,0.13,1
