"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MDFIC",0.000106322503195929,0.533784889716921,0.128,0.095,1
"BRAP",0.000108267564989854,0.64415938757601,0.107,0.077,1
"SMARCA4",0.000108269061449096,0.457733971267973,0.215,0.181,1
"SOCS4",0.000108509988797216,-0.447992751336032,0.096,0.13,1
"CAPN1",0.00010876935964971,0.220521516225545,0.255,0.218,1
"KPNB1",0.000110860053730618,-0.271746442982411,0.396,0.453,1
"IRF2BPL",0.00011089430380057,-0.281377892616776,0.299,0.354,1
"PKN1",0.000112972308256991,0.190577065058509,0.355,0.319,1
"SLC39A8",0.000113819197728443,0.604944156896679,0.109,0.079,1
"SRP68",0.000113834099181539,0.486683460741602,0.158,0.124,1
"SF3B3",0.000114198106099822,0.326521608008751,0.193,0.157,1
"CTSO",0.000114383293769393,-0.289364911712034,0.106,0.142,1
"CARD19",0.000114412870367345,-0.49602460626028,0.086,0.119,1
"CHCHD2",0.000114435207679007,-0.326697398709479,0.655,0.7,1
"PLAA",0.000114823538978412,0.601162444445152,0.146,0.114,1
"KDM5D",0.000115006003076064,0.0189049683416906,0.098,0.136,1
"DCTN3",0.00011542687737683,-0.638738150400814,0.208,0.25,1
"CPSF1",0.000117152893027643,0.949757572663462,0.101,0.073,1
"MRPL44",0.000118352139428268,-0.467134877502193,0.082,0.114,1
"GTF2F1",0.000118513358565462,0.27595093708563,0.253,0.217,1
"ITPA",0.000119790851963804,-0.408440656187237,0.208,0.255,1
"DNASE2",0.00012135658446099,-0.450451196469664,0.257,0.303,1
"GPATCH11",0.0001218793638175,-0.579134782657645,0.104,0.139,1
"MRPS5",0.000122556754013842,0.432934353341481,0.23,0.195,1
"BCAP31",0.000125761161633947,0.0717513078420997,0.459,0.423,1
"DENND1A",0.000126173069389849,0.459070257499577,0.254,0.216,1
"TRIM28",0.000126454778417832,0.305264770509677,0.326,0.293,1
"CD300A",0.000126760201186927,0.241932363695266,0.248,0.211,1
"ARID1B",0.000127603281066782,0.0238002761270971,0.27,0.334,1
"XAB2",0.000129540751151139,0.69812857613142,0.131,0.101,1
"HMGN4",0.000133582901861901,-0.405218174666492,0.081,0.112,1
"SPTSSA",0.000134808235416033,-0.521164409979307,0.168,0.21,1
"TM9SF2",0.000134850123636756,0.103344093235283,0.566,0.541,1
"PIGS",0.000136812550047103,-0.406792500849086,0.159,0.2,1
"PIGT",0.000139727969072189,0.156715492542473,0.276,0.239,1
"VGLL4",0.000139922378975204,-0.232524878899355,0.201,0.252,1
"KDELR1",0.00014036204445274,-0.00147606516225407,0.46,0.427,1
"KLF9",0.000140887543639299,0.539924165412665,0.189,0.155,1
"GOT2",0.000141025812300513,0.484385894490409,0.108,0.078,1
"AOAH",0.000141500531687803,0.364111340626656,0.343,0.313,1
"RBCK1",0.000142544488012473,0.18068306446041,0.254,0.215,1
"CHN2",0.000143493058048429,0.244260092504364,0.072,0.103,1
"VPS26B",0.000144232210630525,0.378609615149081,0.17,0.135,1
"SNIP1",0.000145246611535245,0.587686167626075,0.143,0.109,1
"TSPYL5",0.000145462748258205,-0.449939648735592,0.076,0.107,1
"MAZ",0.000145634567974187,-0.34135501159486,0.206,0.253,1
"HNRNPH3",0.000146402834407059,-0.309316478462687,0.312,0.369,1
"CALM3",0.000146466595041256,-0.346052840892682,0.609,0.658,1
"LACTB",0.000148757407554249,0.202631590243963,0.312,0.277,1
"ABHD14B",0.000149134864100751,-0.602540013467416,0.105,0.14,1
"SDF4",0.00015059960433063,0.144207201083465,0.404,0.371,1
"NUP85",0.000150705949011037,-0.414322943003957,0.081,0.113,1
"GSE1",0.000150770437664438,-0.267366475727985,0.071,0.101,1
"ZNF451",0.000150968950717662,-0.199351919724062,0.196,0.246,1
"BOD1L1",0.000151544413166179,0.201792187956196,0.415,0.383,1
"DDB1",0.000152763258403725,0.360019876071093,0.296,0.26,1
"MCCC1",0.000154221223484047,-0.390761300716151,0.077,0.107,1
"PDLIM5",0.000155419106821003,0.367000724126264,0.263,0.23,1
"SGSH",0.00015554423066665,0.839300115843063,0.1,0.072,1
"GLB1",0.000156245056912952,-0.295449037315637,0.29,0.345,1
"ZNF562",0.000156494223613564,-0.150233829727145,0.089,0.122,1
"HADHB",0.00015651844495947,-0.39576153743882,0.332,0.383,1
"MT1X",0.000158902495724224,-0.335505699748296,0.117,0.155,1
"ECD",0.000160758757832946,0.59896193901733,0.165,0.133,1
"ERC1",0.000162440667418445,0.501029624771437,0.211,0.174,1
"SLC9A6",0.000162969647595555,-0.336164953567927,0.075,0.106,1
"FAM76A",0.000163957150258655,-0.148319667297309,0.07,0.1,1
"TPR",0.000164223720640863,0.0977322379731257,0.43,0.393,1
"CORO1A",0.000165228427300065,0.0341056115834542,0.518,0.483,1
"URI1",0.000165231552634774,0.329688787623271,0.214,0.179,1
"ZFYVE21",0.000165876971217772,-0.500529861450365,0.154,0.194,1
"MAFK",0.000165892449013249,0.876304623536866,0.115,0.087,1
"CIDEB",0.000165913753143242,0.63511139466832,0.115,0.085,1
