"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TCN2",0.252390545304327,-0.567816780331231,0.264,0.257,1,"TCN2"
"CUL1",0.252493185137336,0.368076331144344,0.278,0.231,1,"CUL1"
"RPS6KA1",0.253242593449577,-0.358453205953347,0.264,0.259,1,"RPS6KA1"
"EXT2",0.253329181816314,-0.112334630476173,0.187,0.153,1,"EXT2"
"ZFHX3",0.253391331315897,0.0191221550753087,0.516,0.546,1,"ZFHX3"
"ERF",0.253719401348602,-1.02597661505655,0.105,0.116,1,"ERF"
"MKLN1",0.253756496969512,-0.113659587291569,0.269,0.222,1,"MKLN1"
"CCDC106",0.254450649757839,-0.815106463304776,0.147,0.154,1,"CCDC106"
"MYD88",0.254844678836678,-0.364351220089754,0.175,0.185,1,"MYD88"
"POLR2A",0.255051611760732,-0.194478936774894,0.348,0.342,1,"POLR2A"
"LINC00665",0.255206237703142,-0.0381648433045778,0.103,0.084,1,"LINC00665"
"CPSF7",0.255359128644437,-0.471462099107937,0.178,0.185,1,"CPSF7"
"PRRC1",0.255428209870109,0.373434554412356,0.213,0.18,1,"PRRC1"
"C11orf24",0.255434491342799,-0.522602028152883,0.1,0.114,1,"C11orf24"
"PRMT6",0.255454571747218,0.164598705360535,0.098,0.112,1,"PRMT6"
"KLHL7",0.255961971763593,-0.610305246347985,0.152,0.161,1,"KLHL7"
"SIRT1",0.256083819874276,0.139066957986238,0.129,0.104,1,"SIRT1"
"CHSY1",0.256604254093515,0.0144101223033132,0.283,0.232,1,"CHSY1"
"ZRANB1",0.25688781197858,0.0384194501962245,0.175,0.146,1,"ZRANB1"
"HSDL1",0.257340951806513,-0.282919273211396,0.168,0.136,1,"HSDL1"
"ABCA7",0.257417492845096,0.0973350526492733,0.091,0.106,1,"ABCA7"
"ESRRA",0.25746725906404,0.00991669153977204,0.199,0.205,1,"ESRRA"
"GPR137",0.257613346092281,0.0101014218739337,0.129,0.142,1,"GPR137"
"PPP2R2A",0.257836219437861,-0.393732986924703,0.276,0.265,1,"PPP2R2A"
"EEFSEC",0.25783713228265,-0.497568098604281,0.1,0.113,1,"EEFSEC"
"FOXK2",0.258112320601783,-0.0855671975781455,0.245,0.202,1,"FOXK2"
"CERS4",0.258151582033181,-0.761086398616954,0.147,0.155,1,"CERS4"
"ADCY7",0.258729704650391,-0.28862282793794,0.343,0.333,1,"ADCY7"
"RSRC1",0.258879806215734,0.0848359211438094,0.266,0.278,1,"RSRC1"
"PDIA3",0.259359095866899,0.227391063393571,0.631,0.765,1,"PDIA3"
"PARP8",0.260120529107724,-0.44612838807507,0.086,0.1,1,"PARP8"
