"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATG12",0.0321682077689413,-0.329449528626381,0.294,0.231,1
"GGCT",0.0321875244200291,-0.242371973347379,0.213,0.166,1
"TDG",0.0322690270458095,-0.184312767253402,0.179,0.138,1
"VCP",0.032277570313566,-0.165086225314804,0.491,0.398,1
"KLHL18",0.0322899340571994,-0.0656481074055096,0.266,0.21,1
"STIP1",0.032369966019972,-0.689795563102311,0.235,0.247,1
"XRCC5",0.0324077801961995,-0.202882412992254,0.555,0.449,1
"MRPS34",0.0324433982985418,-0.20420638869288,0.289,0.23,1
"RMDN3",0.032452758073912,-0.414899346360122,0.115,0.085,1
"CYB561A3",0.0324618100266041,-0.236040546786641,0.16,0.124,1
"PSMB10",0.0324694423925496,-0.217177725837553,0.311,0.246,1
"SERPINB9",0.0324732809576381,0.0671807660284884,0.214,0.17,1
"RPP38",0.0324820601520018,-0.150923565288303,0.107,0.079,1
"ANXA1",0.0325257080787139,0.103978107795184,0.462,0.382,1
"RNF220",0.0326283387368954,-0.275711429277312,0.162,0.125,1
"GTF2H5",0.0327631883587534,-0.248765903223891,0.292,0.227,1
"UBA2",0.0327701532855917,-0.414323442920067,0.214,0.165,1
"NOP58",0.032790191235797,-0.217966400742662,0.201,0.156,1
"DNAJB11",0.0328463698626077,-0.477420326872806,0.356,0.346,1
"MGME1",0.0329199647249407,-0.770856885381959,0.249,0.257,1
"RBM28",0.0330143322019979,-0.27377430926231,0.146,0.111,1
"ILF3",0.0330321418726563,-0.291381990649531,0.334,0.264,1
"GPR108",0.0330899738080477,-0.194825673752412,0.212,0.166,1
"LTBP2",0.0331497674001651,-0.127890458619378,0.21,0.166,1
"DPH3",0.0331753197600707,-0.824306340681463,0.16,0.179,1
"SMIM19",0.033229272079747,-0.671932269774751,0.213,0.227,1
"COX11",0.0335010611528256,-0.677846063914429,0.117,0.087,1
"GALNT4",0.0335149907586533,-0.0908798564332284,0.158,0.121,1
"CDC42SE1",0.0336205974200492,-0.149922915987732,0.348,0.279,1
"LTN1",0.0336358422384559,-0.306391249361913,0.265,0.208,1
"ACBD3",0.0337447388062052,-0.177227688913676,0.294,0.234,1
"ARCN1",0.0339146085601512,-0.2663206819588,0.294,0.233,1
"TUSC2",0.0339847001182159,-0.538906738113622,0.231,0.179,1
"TEX264",0.0340700672978575,-0.240070689623301,0.278,0.22,1
"MRPL50",0.0340772488875063,-0.397806482412189,0.124,0.092,1
"TIMM17A",0.0340866946958179,-0.516398023233173,0.151,0.115,1
"PRPF38B",0.0342425646033224,-0.507160269246382,0.403,0.386,1
"OST4",0.0343556539230745,0.0121345056404905,0.677,0.582,1
"ABCA6",0.0343972865881511,-0.0476930925957279,0.205,0.167,1
"TRAPPC10",0.0346388326645693,-0.206714762163538,0.226,0.179,1
"TRIM47",0.0346920829821435,-0.0498129969421712,0.109,0.082,1
"OSTM1",0.0348558418966887,-0.189037334596826,0.37,0.297,1
"SLC38A7",0.0349520669364646,-0.147482730342156,0.294,0.236,1
"PLA2G7",0.0350222283528279,-0.190895269990003,0.232,0.188,1
"ADRM1",0.035087320546967,-0.202370490659813,0.275,0.22,1
"IDH3G",0.0352225794387597,-0.319421258378626,0.255,0.201,1
"HAX1",0.0353051633847033,-0.301056526528501,0.224,0.175,1
"AP1AR",0.0355829585754601,-0.200479921528298,0.211,0.166,1
"FBXL15",0.0356232437479405,-0.252106300528929,0.184,0.143,1
"APOL2",0.0357790413312356,-0.250529980630223,0.114,0.085,1
"ING3",0.0358262108981568,-0.434106703823232,0.143,0.109,1
"ECD",0.0359052991990958,-0.149798455929724,0.16,0.124,1
"MBOAT1",0.0359630824366943,-0.239923368606682,0.2,0.158,1
"FPR1",0.0360445573077084,-0.488770498753403,0.508,0.476,1
"PA2G4",0.0360586825790525,-0.281460151759306,0.371,0.294,1
"MRPL36",0.0360680458130082,-0.42446606038322,0.167,0.128,1
"IL10RA",0.036097646785077,-0.0501022664725204,0.512,0.423,1
"ANKRD36C",0.0361049833553243,0.161424069763543,0.134,0.105,1
"CPT2",0.0363051569164794,-0.23256313988244,0.131,0.099,1
"N4BP2L1",0.036386775440332,-0.210398892260559,0.225,0.179,1
"MED1",0.0367345204253813,-0.427224104526821,0.216,0.168,1
"RIOK2",0.036814378627989,-0.46647518214259,0.111,0.083,1
"CARD6",0.0368256561514728,-0.168999242098978,0.17,0.133,1
"UFSP2",0.0369048118933078,-0.217950650984805,0.175,0.136,1
"OTUD5",0.0369237243609482,-0.482479485233266,0.167,0.128,1
"MYL6",0.0369250887188668,-0.11089764874168,0.874,0.889,1
"ORMDL2",0.0369643261981717,-0.613960258611515,0.172,0.132,1
"EIF3I",0.0370001967402605,-0.211273860449195,0.327,0.26,1
"CCNL2",0.0373509252722568,-0.171071759022021,0.281,0.222,1
"METTL9",0.0373571780150351,-0.240032550397958,0.316,0.251,1
"USP3",0.0373948625554517,-0.327448683062229,0.241,0.191,1
"PAF1",0.0376491772713892,-0.0154680433095562,0.131,0.1,1
"CEP164",0.0378577811166858,-0.0202478102659693,0.11,0.083,1
"EDF1",0.0379095032855846,-0.0173998922485701,0.564,0.483,1
"PSIP1",0.0379882274506817,-0.289513480417907,0.26,0.206,1
"SMARCA1",0.0380715977830666,-0.0998412910171751,0.227,0.182,1
"MYADM",0.0381593621203482,-0.596764493618078,0.259,0.263,1
"ACAA1",0.0382206140522172,-0.28146595992516,0.243,0.192,1
"PTRH2",0.0383452531029521,-0.203667967470036,0.113,0.085,1
"SPATS2L",0.0384009377889765,-0.0789569320991814,0.621,0.517,1
"CAPZA1",0.0386314418379744,-0.11009452462099,0.632,0.529,1
"GDI2",0.0386352697747682,-0.0724960965005306,0.526,0.426,1
"APMAP",0.0386397021787306,-0.130411039961132,0.393,0.319,1
"ZNF281",0.0387003060658251,-0.18942496323057,0.137,0.105,1
"NRAS",0.0387883958222616,-0.377723255991004,0.248,0.196,1
"NSUN4",0.0388136560779095,0.334024118709693,0.103,0.078,1
"RNF166",0.0388197312575281,-0.3826918180087,0.235,0.186,1
"GABPB2",0.0388459265079361,-0.273594321005755,0.104,0.078,1
"LIMA1",0.0389115983711542,-0.295357844741888,0.193,0.152,1
"MRPL15",0.0389219085704321,-0.258027398075122,0.155,0.119,1
"IKBIP",0.0389927774339355,-0.375721206669286,0.248,0.195,1
"TMCO1",0.0390106738752332,-0.204898129008271,0.417,0.333,1
"MAPK1IP1L",0.0390815230664912,-0.296483034089407,0.325,0.26,1
"USP38",0.0392977267161421,-0.2885553152381,0.166,0.129,1
"CEP95",0.0393342676719052,-0.830828878379404,0.107,0.126,1
"ZBTB43",0.0396936391903726,0.0550014085183994,0.135,0.105,1
"SPTSSA",0.0398246252979578,-0.226562874435858,0.202,0.16,1
"RCHY1",0.0398388646332061,-0.034841536139866,0.139,0.108,1
"SEC11A",0.0398758954922005,-0.320288861665481,0.567,0.534,1
"TAGLN2",0.0399911790957886,-0.21027790186789,0.236,0.192,1
"EDRF1",0.0400333803318164,-0.0682159089609791,0.111,0.084,1
"THAP7",0.0400604660697918,-0.20437633426182,0.102,0.076,1
"GRPEL1",0.0401198869226691,-0.26573931017294,0.146,0.111,1
"CTR9",0.0401252790843977,-0.350443008541872,0.276,0.216,1
"ZBTB11",0.0401293600731712,-0.7819699784719,0.172,0.187,1
"ZMAT5",0.0402040630498454,-0.573675812468894,0.11,0.082,1
"CCNT1",0.0402509331314075,-0.00809888754728905,0.173,0.136,1
"ISOC2",0.040361620036508,-0.37395903569466,0.129,0.098,1
"MAPK6",0.0404007887118199,-0.0685417062956115,0.163,0.127,1
"PER1",0.0404690591930508,-0.0341169383673999,0.193,0.154,1
"POLE3",0.0408516145816803,-0.297113305054306,0.223,0.176,1
"C15orf40",0.0408839836177897,-0.517032286100315,0.126,0.095,1
"NRP2",0.0409057125295439,-0.0806084354390055,0.616,0.526,1
"SLC7A6OS",0.0409732616842109,-0.280315410051294,0.144,0.111,1
