"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RDH14",3.44087104388538e-76,0.21213014101315,0.289,0.074,6.86109686150745e-72,"RDH14"
"FAM149B1",3.71754137438695e-76,0.421718235963533,0.31,0.083,7.41277750052758e-72,"FAM149B1"
"TXLNA",3.74916306094369e-76,-0.12754757065635,0.502,0.174,7.47583114352173e-72,"TXLNA"
"PPBP",3.79005216704651e-76,4.96224128236545,0.112,0.002,7.55736402109074e-72,"PPBP"
"RFC4",4.00428408437634e-76,0.0838002244413225,0.264,0.062,7.98454246424643e-72,"RFC4"
"FASTKD2",4.15122730098013e-76,0.140280769679154,0.336,0.095,8.27754723815438e-72,"FASTKD2"
"HAUS2",4.20238697455374e-76,0.130406364279451,0.287,0.073,8.37955962726016e-72,"HAUS2"
"SLC22A18AS",4.25625146358663e-76,1.7329979825992,0.154,0.016,8.48696541839173e-72,"SLC22A18AS"
"ATXN3",4.30898257383129e-76,0.117971458173188,0.398,0.125,8.5921112522196e-72,"ATXN3"
"PRRC1",4.38772630789486e-76,-0.115197881408607,0.401,0.127,8.74912625794234e-72,"PRRC1"
"DCP2",4.5066615452823e-76,0.0156967841457963,0.741,0.289,8.9862831212929e-72,"DCP2"
"TRIB3",4.76726600885745e-76,2.7458585401408,0.134,0.009,9.50592842166175e-72,"TRIB3"
"CCDC92",4.79341456458638e-76,0.121847940450923,0.349,0.102,9.55806864178524e-72,"CCDC92"
"S100A1",5.0450907063753e-76,0.180121744242604,0.305,0.083,1.00599108685124e-71,"S100A1"
"SLC2A3",5.17742636020686e-76,-0.0427472727109051,0.688,0.268,1.03237881622525e-71,"SLC2A3"
"LINC01943",5.36031712043389e-76,3.01094324179892,0.117,0.003,1.06884723381452e-71,"LINC01943"
"STK4",5.40350049775472e-76,0.265277085669431,0.904,0.388,1.07745799925229e-71,"STK4"
"CC2D1A",5.60874181395295e-76,0.509009762023865,0.265,0.063,1.11838311770222e-71,"CC2D1A"
"LACTB2",5.6979058941291e-76,0.0463133323096998,0.409,0.13,1.13616243528934e-71,"LACTB2"
"ELOVL5",6.05466519568535e-76,0.11047205500517,0.396,0.125,1.20730024001966e-71,"ELOVL5"
"TCAF1",6.19420249186702e-76,-0.0036940163118675,0.36,0.107,1.23512397687828e-71,"TCAF1"
"LIN7C",6.31526700389476e-76,-0.0462569810113209,0.399,0.126,1.25926424057661e-71,"LIN7C"
"PTDSS1",6.34657289933984e-76,-0.0682158562369486,0.384,0.118,1.26550663612836e-71,"PTDSS1"
"RASA3",6.60257600846379e-76,0.158043544292457,0.349,0.102,1.31655365608768e-71,"RASA3"
"ABI1",6.71869266005374e-76,0.287096391729503,0.911,0.391,1.33970731641472e-71,"ABI1"
"GTF2H1",7.0962296929079e-76,0.156423005065236,0.465,0.157,1.41498820076583e-71,"GTF2H1"
"RNF145",7.14023335055776e-76,0.274586409499185,0.899,0.386,1.42376253010122e-71,"RNF145"
"TMEM120A",7.21817791649606e-76,-0.0654366331875329,0.321,0.089,1.43930467654931e-71,"TMEM120A"
"FAM114A2",7.31817022139851e-76,-0.0448379240512409,0.391,0.121,1.45924314214686e-71,"FAM114A2"
"PCCB",7.6271135800632e-76,0.340016540618735,0.303,0.081,1.5208464478646e-71,"PCCB"
"ZNF143",7.79254977417256e-76,0.323679291125857,0.334,0.096,1.55383442497001e-71,"ZNF143"
"CNOT1",8.00078509826018e-76,0.108168546869163,0.769,0.308,1.59535654859308e-71,"CNOT1"
"TIMM50",8.39545386230552e-76,-0.0860604201142738,0.324,0.09,1.67405350014372e-71,"TIMM50"
"ABHD12",8.47591133355078e-76,0.0323686156842116,0.742,0.292,1.69009671991003e-71,"ABHD12"
"S100PBP",9.69062269038778e-76,0.153996411902665,0.517,0.183,1.93231016446332e-71,"S100PBP"
"GLRX5",1.03772996490823e-75,-0.322631559327389,0.461,0.154,2.06923355002701e-71,"GLRX5"
"TRADD",1.07896763565464e-75,-0.0233487579397208,0.394,0.124,2.15146146549535e-71,"TRADD"
"MLX",1.08728454461795e-75,-0.265068893688507,0.473,0.161,2.16804538196819e-71,"MLX"
"SRFBP1",1.10275711810988e-75,-0.0826062914248333,0.595,0.218,2.19889769351109e-71,"SRFBP1"
"ANAPC5",1.12357039674252e-75,-0.0175017667757035,0.581,0.211,2.24039937110459e-71,"ANAPC5"
"DCAF15",1.19249405856947e-75,0.246035744077416,0.27,0.065,2.37783315278751e-71,"DCAF15"
"PLAU",1.20117902401845e-75,0.0638992717594578,0.422,0.141,2.39515097389278e-71,"PLAU"
"REEP5",1.20900838795109e-75,0.166427946336254,0.919,0.399,2.41076272557446e-71,"REEP5"
"ZNF782",1.22053372504187e-75,0.737171040388305,0.242,0.053,2.43374424773349e-71,"ZNF782"
"SIMC1",1.28329546182044e-75,0.835446754179662,0.231,0.048,2.55889115086997e-71,"SIMC1"
