"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ANGEL1",0.000582882560769073,-0.520546207689887,0.054,0.069,1,"ANGEL1"
"PEX26",0.00058390149356818,-0.319993671933971,0.096,0.115,1,"PEX26"
"PLAU",0.000587871018553844,-0.260692808495882,0.079,0.097,1,"PLAU"
"EGLN1",0.000588623620674064,0.412980084174774,0.196,0.17,1,"EGLN1"
"PVT1",0.000590790248344948,-0.515122802821753,0.015,0.024,1,"PVT1"
"MSANTD1",0.000591674040578872,0.714974574854318,0.011,0.005,1,"MSANTD1"
"NEDD4",0.00059256674522149,0.477514694809631,0.094,0.075,1,"NEDD4"
"SELENOO",0.000595035475529054,0.291617891382288,0.096,0.076,1,"SELENOO"
"CD46",0.000595296318835641,0.308938200377098,0.428,0.404,1,"CD46"
"SPTBN5",0.000595547776099357,0.286287158280213,0.055,0.04,1,"SPTBN5"
"CLIP2",0.000596803008353845,0.281942643650953,0.106,0.084,1,"CLIP2"
"CBR3",0.000597136988136854,0.544343165958688,0.058,0.043,1,"CBR3"
"PEX1",0.00060013153117564,0.481528662640823,0.091,0.072,1,"PEX1"
"PAK6",0.000600830031238509,0.837273060648768,0.021,0.012,1,"PAK6"
"USP6NL",0.000607832985999584,0.362487201875747,0.116,0.094,1,"USP6NL"
"CXCR2",0.000609639764428918,0.894953784692082,0.016,0.009,1,"CXCR2"
"COLGALT1",0.000620109042290246,0.283253894965805,0.497,0.481,1,"COLGALT1"
"SUPT3H",0.00062947128837557,-0.328781992221426,0.06,0.077,1,"SUPT3H"
"ERP27",0.000630010857219545,-0.627043831185529,0.01,0.018,1,"ERP27"
"ZBTB17",0.0006308652825844,-0.45011768700029,0.049,0.064,1,"ZBTB17"
