"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"UBR3",2.24982632162922e-14,-0.735483928171274,0.166,0.223,4.48615368532866e-10,"UBR3"
"CTSL",2.2705936032371e-14,0.156119996969772,0.879,0.756,4.52756364485478e-10,"CTSL"
"OPHN1",2.29619842548394e-14,-1.16423651066551,0.075,0.121,4.57861966041498e-10,"OPHN1"
"MYADM",2.34555487449069e-14,0.205390986021129,0.363,0.265,4.67703641973444e-10,"MYADM"
"MRPL33",2.43527827440082e-14,0.46057373691863,0.279,0.199,4.85594487915523e-10,"MRPL33"
"GANAB",2.51167820544566e-14,0.37762785022299,0.273,0.192,5.00828634165864e-10,"GANAB"
"CXCL1",2.61772362197998e-14,-1.68899123886554,0.071,0.116,5.21974090222808e-10,"CXCL1"
"ARPC1A",2.61809051937678e-14,0.622724591504633,0.201,0.133,5.22047249563731e-10,"ARPC1A"
"RAPH1",2.66139607844083e-14,-0.634177484853772,0.251,0.308,5.30682378041101e-10,"RAPH1"
"FAM32A",2.6830811641599e-14,0.46789517517138,0.244,0.171,5.35006384133484e-10,"FAM32A"
"ARPC5",2.68790198102429e-14,0.195982659837497,0.813,0.672,5.35967655016243e-10,"ARPC5"
"GBF1",2.70303173732893e-14,-0.746846565001193,0.168,0.227,5.38984528423388e-10,"GBF1"
"SRGAP2B",2.72768352642015e-14,0.543660893243994,0.201,0.13,5.43900095168177e-10,"SRGAP2B"
"RUBCNL",2.74288571540865e-14,-0.653207879941368,0.247,0.302,5.46931411652484e-10,"RUBCNL"
"MXI1",2.75115531944773e-14,0.669679313771538,0.139,0.082,5.48580370697878e-10,"MXI1"
"RAC2",2.83622633701766e-14,0.4974882775127,0.255,0.179,5.65543531601321e-10,"RAC2"
"SULT1C2",2.86282286545337e-14,0.554330297602559,0.113,0.06,5.70846879371403e-10,"SULT1C2"
"KCNJ5",2.87299511174386e-14,0.317114612075482,0.483,0.382,5.72875225281726e-10,"KCNJ5"
"IER3",3.12655632540244e-14,-0.567992147205979,0.528,0.531,6.23435331285247e-10,"IER3"
"RAD23A",3.22676918988902e-14,0.299290983376663,0.42,0.326,6.4341777646387e-10,"RAD23A"
"MED4",3.36255156812744e-14,0.489947068935182,0.256,0.18,6.70492782684612e-10,"MED4"
"BCAP29",3.36974176020715e-14,0.725699696742899,0.188,0.122,6.71926506985306e-10,"BCAP29"
"GTF3A",3.47498026503909e-14,0.357928754982125,0.392,0.302,6.92911064848795e-10,"GTF3A"
"TMEM117",3.52735452800948e-14,-1.02894335729238,0.14,0.192,7.0335449288509e-10,"TMEM117"
"APBA1",3.56689789902433e-14,-0.943251162459812,0.125,0.178,7.11239441065451e-10,"APBA1"
"NUCB1",3.675614028868e-14,0.257623303431644,0.533,0.414,7.32917437356279e-10,"NUCB1"
"KRTCAP2",3.6832480247966e-14,0.302811532673559,0.43,0.336,7.34439656144442e-10,"KRTCAP2"
"SLC38A6",3.70553223146075e-14,-0.750235159774388,0.283,0.328,7.38883126953274e-10,"SLC38A6"
"ENY2",3.7390882277101e-14,0.298706746776052,0.444,0.345,7.45574192605393e-10,"ENY2"
"POLR2K",3.98875413007579e-14,0.461089572243809,0.285,0.207,7.95357573537112e-10,"POLR2K"
"TXNDC17",4.32086345532826e-14,0.451903685523561,0.305,0.224,8.61580172992454e-10,"TXNDC17"
"BTBD9",4.43050757261861e-14,-1.04682954551736,0.09,0.139,8.83443209980152e-10,"BTBD9"
"EEF1B2",4.49016873935117e-14,0.319950685108793,0.581,0.482,8.95339646626622e-10,"EEF1B2"
"PLIN3",4.61194069361905e-14,0.402569361406959,0.272,0.193,9.19620974307639e-10,"PLIN3"
"ATP6V0E1",4.62895435931861e-14,0.209115968772971,0.715,0.588,9.2301349924813e-10,"ATP6V0E1"
"HDAC4",4.73393395710721e-14,-1.17209448000367,0.079,0.125,9.43946431047178e-10,"HDAC4"
"MGAT1",4.86910519599526e-14,0.163637956892762,0.615,0.497,9.70899576081454e-10,"MGAT1"
"LFNG",5.08542690364947e-14,-0.992350888181909,0.098,0.15,1.0140341245877e-09,"LFNG"
"SEC11A",5.52527387730792e-14,0.307198965562136,0.54,0.442,1.1017396111352e-09,"SEC11A"
"ENO1",5.52675440161997e-14,0.221654015958052,0.523,0.413,1.10203482768302e-09,"ENO1"
"CCL4",5.61768816153352e-14,-0.716960828129387,0.538,0.507,1.12016701940978e-09,"CCL4"
"MAPRE2",5.68441315286139e-14,0.282707370891879,0.325,0.239,1.13347198268056e-09,"MAPRE2"
"LGALS1",5.81532677470105e-14,-0.658017155956402,0.246,0.308,1.15957615887539e-09,"LGALS1"
"SLC12A9",5.87719796682463e-14,0.264105669992051,0.3,0.215,1.17191327458483e-09,"SLC12A9"
"ARRDC4",6.00968139405549e-14,0.601925985520872,0.222,0.152,1.19833046997466e-09,"ARRDC4"
