"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DTNA",1.24134313340507e-40,-1.34405322862232,0.103,0.215,2.47523820800971e-36,"DTNA"
"RNF125",1.37716407077484e-21,-1.33823587761104,0.059,0.124,2.74606515712504e-17,"RNF125"
"ABCC4",6.39003170487118e-29,-1.33812228415486,0.059,0.138,1.27417232195131e-24,"ABCC4"
"TP53INP2",6.60453268800704e-46,1.33611188534251,0.207,0.084,1.3169438179886e-41,"TP53INP2"
"KDM6B",1.85565048138236e-155,1.33570004194577,0.581,0.286,3.70016705987642e-151,"KDM6B"
"ACSL1",4.47684706892864e-121,1.33460591318281,0.507,0.255,8.92683305544371e-117,"ACSL1"
"RND3",8.98480824261849e-57,1.33447799910291,0.23,0.088,1.79157076357813e-52,"RND3"
"RECK",3.58566668664865e-23,-1.33185852809396,0.06,0.128,7.14981937317741e-19,"RECK"
"FCGR2B",1.59887660434827e-19,1.33164031487034,0.137,0.072,3.18815994907045e-15,"FCGR2B"
"DOK5",1.72597842718832e-33,-1.3281741168509,0.1,0.198,3.44160098381351e-29,"DOK5"
"YBX3",6.39995073003035e-156,1.32579789742581,0.551,0.245,1.27615017556805e-151,"YBX3"
"ATG10",2.70584503156475e-27,-1.32016108504678,0.05,0.121,5.39545499294011e-23,"ATG10"
"LINC01473",3.33927302105433e-23,-1.31707404551576,0.05,0.115,6.65851040398233e-19,"LINC01473"
"EGR3",4.91091656436963e-93,1.31695057893953,0.399,0.173,9.79236762935304e-89,"EGR3"
"UBE2W",3.29612652004424e-51,-1.31221023585788,0.146,0.285,6.57247628096821e-47,"UBE2W"
"ABCG2",8.95296824993429e-20,-1.31093214980432,0.082,0.151,1.7852218690369e-15,"ABCG2"
"SPECC1L",1.48312391764566e-28,-1.31053599994453,0.073,0.155,2.95734909178544e-24,"SPECC1L"
"LILRA6",1.06125646702133e-37,1.31024661578744,0.181,0.075,2.11614539524053e-33,"LILRA6"
"MAML3",1.84296577295306e-35,-1.30979202231556,0.101,0.204,3.6748737512684e-31,"MAML3"
"ARL5B",1.04698475713962e-80,1.30711314309519,0.378,0.18,2.0876876057364e-76,"ARL5B"
"AFF3",5.65880591765857e-25,-1.30576385862281,0.083,0.161,1.12836589998112e-20,"AFF3"
"LDAH",2.11514760562181e-22,-1.30541226519317,0.043,0.103,4.21760432560989e-18,"LDAH"
"PEG10",4.17344388824603e-48,-1.30235080716109,0.054,0.163,8.32184711316258e-44,"PEG10"
"ENTPD1-AS1",1.5846814919797e-22,-1.29974912960134,0.048,0.109,3.15985489500752e-18,"ENTPD1-AS1"
"ZHX2",4.06640686567445e-20,-1.29801315327715,0.049,0.106,8.10841529015485e-16,"ZHX2"
"CDC42EP3",6.76820941122201e-35,1.29621927266106,0.147,0.055,1.34958095659767e-30,"CDC42EP3"
"BABAM2",9.43189688007702e-34,-1.29307597281138,0.115,0.217,1.88072023788736e-29,"BABAM2"
"HLA-DQA1",3.95983671461802e-38,1.29101944566815,0.252,0.135,7.89591440894833e-34,"HLA-DQA1"
"APBA1",1.21579081098412e-32,-1.28888807482334,0.085,0.178,2.42428687710233e-28,"APBA1"
"BNC2",6.71536204452567e-31,-1.28842581713717,0.084,0.173,1.33904319167842e-26,"BNC2"
"TGFBR3",2.42193222057524e-34,-1.28814830493541,0.058,0.147,4.82933284782703e-30,"TGFBR3"
"SIGLEC7",1.73753553278822e-38,1.28810697142143,0.166,0.063,3.46464585237972e-34,"SIGLEC7"
"IL1RN",2.14318944305684e-31,1.28342366198632,0.137,0.052,4.27351974945533e-27,"IL1RN"
"RRP12",7.94263011949607e-59,1.28329414927335,0.3,0.14,1.58376044582752e-54,"RRP12"
"PCCA",1.32442496384095e-41,-1.28246833223097,0.071,0.177,2.64090337789886e-37,"PCCA"
"PRKCA",1.28958430304511e-43,-1.27542316328389,0.152,0.278,2.57143110027194e-39,"PRKCA"
"NCKAP5",8.1850474224054e-37,-1.27327819783436,0.115,0.223,1.63209845602764e-32,"NCKAP5"
"RABGGTA",2.46499100169602e-22,1.26247446652184,0.102,0.04,4.91519205738186e-18,"RABGGTA"
"TANC2",5.83050019876846e-18,1.26170497587774,0.111,0.053,1.16260173963443e-13,"TANC2"
"COMMD10",2.63896957113618e-41,-1.26152774650013,0.145,0.266,5.26210532484553e-37,"COMMD10"
"CCDC91",2.26484892291365e-46,-1.25241032404468,0.175,0.308,4.51610875228983e-42,"CCDC91"
"DIS3L2",4.36942172459235e-24,-1.25157032698352,0.069,0.142,8.71262691883715e-20,"DIS3L2"
"HYOU1",3.1010422574838e-51,1.24962221659683,0.266,0.124,6.1834782614227e-47,"HYOU1"
