"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGAP21",0.00270563810495604,-0.0555162006282729,0.295,0.332,1
"ARMC10",0.0027109632996906,0.0533763677800203,0.116,0.098,1
"PCGF5",0.00271850917289761,0.00328064830247166,0.17,0.149,1
"PPP4R2",0.00273131158938124,-0.173522124475531,0.254,0.281,1
"GLB1",0.00274415566911132,-0.192349730228463,0.286,0.315,1
"TXNRD1",0.00277479296548384,-0.204959551757161,0.228,0.254,1
"CCDC88A",0.00278054290758881,0.165323516951455,0.495,0.485,1
"KLHDC2",0.00278348335072995,-0.169047385929415,0.113,0.132,1
"PBXIP1",0.00279756007291906,-0.260956040388921,0.125,0.146,1
"UQCC2",0.0028005787153967,-0.450322037673322,0.199,0.22,1
"BNIP2",0.00282761125921433,0.0131885039352722,0.476,0.462,1
"SLC4A2",0.00284498832937793,0.266361233208591,0.169,0.151,1
"C1orf54",0.00284685015483273,-0.475614575003006,0.156,0.176,1
"SMIM10L1",0.00286027380432539,0.0534555093459315,0.167,0.146,1
"KIF13A",0.00286346709306754,-0.101788730870315,0.112,0.131,1
"STARD3NL",0.0029446644992856,-0.274485413221114,0.213,0.238,1
"FAM20C",0.00295121080704313,0.141400733386284,0.264,0.241,1
"CNOT1",0.00297088236794984,0.217821688726605,0.299,0.284,1
"DOCK2",0.00299928512106742,0.0657314038242797,0.41,0.392,1
"HAT1",0.0030315281132751,-0.24311792550903,0.162,0.184,1
"RIOK3",0.00306374842246632,0.141689061467123,0.324,0.306,1
"ETS1",0.00306474558795053,-0.34858514516243,0.16,0.182,1
"FRAT2",0.00307662504275275,-0.145051578398283,0.12,0.14,1
"LRBA",0.00307947278464123,0.150064324596442,0.089,0.108,1
"SBDS",0.00312689548288169,-0.169224134838297,0.368,0.402,1
"CEP170",0.00315835830377025,0.137317350865936,0.359,0.333,1
"TSPAN3",0.00315942209144543,-0.27955223645204,0.321,0.349,1
"IL18",0.00317024233363153,-0.220662427562743,0.232,0.258,1
"SUSD6",0.0031773008750868,-0.0854496436664352,0.263,0.295,1
"RTCA",0.00318102803746279,-0.367470326999649,0.198,0.219,1
"PLA2G4A",0.00321121202986324,-0.289622235158639,0.085,0.101,1
"SIPA1",0.00322398668893551,-0.193428260186335,0.342,0.373,1
"PSMB6",0.00322593232351959,-0.122324581797958,0.385,0.359,1
"SETD3",0.00324172590897018,-0.22835462226135,0.23,0.255,1
"USP12",0.00324556763536979,0.262858837651558,0.182,0.165,1
"ABCF3",0.00325495001280955,0.282811360442798,0.108,0.092,1
"RASA2",0.00325535467108075,-0.0226446139749219,0.206,0.234,1
"ATP10D",0.00332183931718522,0.385471778403981,0.174,0.158,1
"RPS6KC1",0.00333800508654288,-0.0207606728732244,0.133,0.154,1
"DICER1",0.00334967887906224,-0.213610904366952,0.362,0.392,1
"METTL7B",0.00336198265484031,0.040080661074385,0.274,0.254,1
"ARSA",0.00338334666160429,0.129961022328715,0.227,0.207,1
"ATF2",0.00338924437820345,-0.111253708920144,0.186,0.211,1
"ZXDC",0.00339423209747461,0.478081414641268,0.106,0.091,1
"CWC27",0.00343459171788094,-0.0753304673498603,0.119,0.139,1
"TAF7",0.00345983684284853,0.212928485122862,0.216,0.199,1
"TMEM242",0.00347089211195646,-0.43710128425848,0.098,0.115,1
"MRPS30",0.00350185442969888,0.175588865797243,0.109,0.092,1
"YIF1A",0.00351986733003125,-0.0210389965037008,0.169,0.148,1
"ARFGEF1",0.00353270548405673,0.219922743715655,0.236,0.219,1
"CHST15",0.00355854827832091,0.351542346373416,0.144,0.127,1
"DDX54",0.00358012736317745,0.103968876834593,0.139,0.121,1
"ZBTB7B",0.00359242894634158,-0.204500943378358,0.128,0.147,1
"N4BP1",0.00360657824190968,0.158639254332914,0.263,0.246,1
"AGGF1",0.00360952709576062,-0.33507148486491,0.153,0.172,1
"AGPS",0.00362700741449056,-0.22916815603381,0.215,0.24,1
"SLC8B1",0.00363921238144558,0.430470270436566,0.224,0.211,1
"TTL",0.00366122360259508,-0.111969094157321,0.17,0.193,1
"LMBRD1",0.00370628632767003,-0.200424436587689,0.278,0.307,1
"TUBB2A",0.00371270666737055,-0.288603229473356,0.215,0.239,1
"CPVL",0.00372585703473233,-0.225921557768411,0.591,0.649,1
"FNTA",0.0037309426164638,-0.395733018762912,0.183,0.202,1
"HECTD2",0.00373983825504947,0.0720339822535867,0.165,0.189,1
"SKP2",0.00376950605261209,0.141546631319018,0.147,0.173,1
"RBM41",0.0037874920551645,0.0418434654192665,0.083,0.101,1
"CIC",0.00380170851779532,0.395371290334658,0.139,0.122,1
"USP48",0.00380924739914098,0.302721235089919,0.207,0.193,1
